name,cnpj,isin,assetCode,fundBegin,currency,isEsg,manager,administrator,custody,investmentType,categoryCvm,anbimaRating,benchmark,applyOpen,minimumInitialInvestment,minimumMoviment,minimumBalanceRemain,timeLimit,hourInvestimentRescue,investimentQuota,rescueQuota,rescueFinancialSettlement,investmentFinancialSettlement,administrationFee,administrationFeeMax,performanceFee,profitabilityDay,profitabilityMonth,profitabilityYear,subcategoryInitials,subclassCode,isExternalPensionFund,isPensionFund,fundCGE
TRUXT LONG BIAS FICFIA ACCESS,38971881000160,,5091473,2020-10-23T00:00:00.000-0300,BRL,false,BTG PACTUAL GESTAO E CONSULTORIA DE INVESTIMENTOS,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores qualificados,Ações,Ações Livre,-,true,10000,10000,10000,13:40,13:40,D+1,D+30,D+32,D+0,0.56,,,-0.2235016,0.5132406,24.7170324,LONG_BIASED,,false,false,2863695
BTG REF IBOV INDEXADO FIA,32743215000199,,3673598,2019-03-15T00:00:00.000-0300,BRL,false,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Ações,Ações Indexados,IBOVESPA,true,500,500,500,15:10,15:10,D+0,D+0,D+2,D+0,0.1,,,-0.5551281,-2.2933322,5.0284779,LONG_ONLY,,false,false,1166326
ITAU JANEIRO RF DISTRIBUIDOS FICFI,52342951000142,,8991625,2023-09-29T00:00:00.000-0300,BRL,false,ITAU UNIBANCO ASSET MANAGEMENT LTDA,INTRAG DISTR DE TITULOS EVALORES MOBILIARIOS LTDA,ITAU UNIBANCO S.A.,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre grau de investimento,CDI,false,100,1,1,14:10,14:10,D+0,D+0,D+1,D+0,0.9,,20,0.0794958,1.0229483,4.995807,ATIVO,,false,false,9289985
Ryo Compounders FIF Ações Subclasse I,60922345000124,,14471830,2025-05-30T00:00:00.000-0300,BRL,false,RYO GESTAO DE RECURSOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM,,Investidores qualificados,Ações,Ações Livre,CDI,true,5000,1000,0,14:40,14:40,D+1,D+30,D+32,D+0,2,,20,-0.3047867,-0.4384013,6.7061631,LONG_BIASED,EQSAY1748440796,false,false,22408700
BTG CRED CORP PLUS FIM CrPr,33599991000120,,3851712,2019-06-28T00:00:00.000-0300,BRL,false,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores qualificados,Multimercados,Multimercado livre,CDI,true,5000,1000,1000,15:10,15:10,D+0,D+30,D+31,D+0,1,,20,0.0960985,0.6597497,6.8200318,CREDITO_POS,,false,false,1173367
MARKET MAKERS FIA,47548659000140,BR0DOMCTF005,7015476,2022-09-30T00:00:00.000-0300,BRL,false,EMPIRICUS ASSET MANAGEMENT LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Ações,Ações Livre,IBOVESPA,true,1000,100,100,16:10,16:10,D+1,D+30,D+32,D+0,2,,20,-0.3328202,-2.5104709,4.955096,LONG_ONLY,,false,false,5916962
ATENA TAPYR FICFIRF CrPr,17627210000107,,2740890,2013-07-05T00:00:00.000-0300,BRL,false,ATENA CAPITAL GESTAO DE RECURSOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre grau de investimento,CDI,true,1000,1000,1000,15:20,15:20,D+0,D+0,D+1,D+0,0.5,,15,0.056071300000000004,0.6311412,6.4469757,CREDITO_POS,,false,false,980880
LEBLON ACOES FICFIA,10320151000180,BRYPA1CTF005,1662203,2008-09-30T00:00:00.000-0300,BRL,false,LEBLON EQUITIES GESTAO DE RECURSOS LTDA.,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores qualificados,Ações,Ações Livre,IBOVESPA,true,1000,1000,100,14:10,14:10,D+1,D+27,D+30,D+0,2,,15,-0.19117710000000002,-2.0376662,5.9890332,LONG_ONLY,,false,false,534197
COMPASS YIELD 30 FIRF CrPr,36318479000156,,7504150,2020-05-20T00:00:00.000-0300,BRL,false,VINCI CG GESTORA DE RECURSOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre crédito livre,CDI,true,500,500,500,14:10,14:10,D+0,D+29,D+30,D+0,0.6,,10,0.0524453,0.760373,6.9371031,CREDITO_POS,,false,false,993034
WESTERN ASSET GL EQUITIES FIA,29982932000169,BR01SPCTF008,2135917,2019-08-08T00:00:00.000-0300,BRL,false,FRANKLIN TEMPLETON BRASIL LTDA,INTRAG DISTR DE TITULOS EVALORES MOBILIARIOS LTDA,ITAU UNIBANCO S.A.,Investidores qualificados,Ações,Ações Investimento no Exterior,CDI,true,1000,100,500,13:10,13:10,D+1,D+1,D+5,D+0,0.7000000000000001,,,0.1239027,0.6500999000000001,0.5119774,LONG_ONLY,,false,false,820873
COMPASS CREDIT SELEC FICFIRF CrPr LP,35408329000170,,2561279,2019-12-27T00:00:00.000-0300,BRL,false,VINCI CG GESTORA DE RECURSOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre crédito livre,CDI,true,500,500,0,14:10,14:10,D+0,D+0,D+1,D+0,0.5,,,0.0610603,0.6354209000000001,6.345778,CREDITO_POS,,false,false,944383
Bradesco Centurion Dividendos FICFIA,32158430000122,BR00VXCTF008,1934222,2019-01-02T00:00:00.000-0300,BRL,false,BANCO BRADESCO S.A.,BEM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,BANCO BRADESCO S.A.,Investidores em geral (Não qualificados),Ações,Ações Dividendos,IBOVESPA,true,100,100,100,14:40,14:40,D+1,D+1,D+3,D+0,1.5,,20,-0.45202760000000003,-1.8580709999999998,5.7699533,LONG_ONLY,,false,false,676343
OPPORTUNITY GL EQ DOLAR FICFIA BDR NI IE,46352768000125,,7608061,2022-11-01T00:00:00.000-0300,BRL,false,OPPORTUNITY ASSET ADM DE RECURSOS DE TERCEIROS LTD,BNY MELLON SERVICOS FINANCEIROS DISTRIBUIDORA DE T,BNY MELLON BANCO S.A,Investidores qualificados,Ações,Ações Investimento no Exterior,-,true,5000,1000,5000,14:10,14:10,D+1,D+2,D+5,D+0,1.5,,20,0.6570317,2.3920678,3.107037,LONG_ONLY,,false,false,8310369
RIZA DAIKON FICFIM CrPr,36015100000139,,2573205,2020-02-14T00:00:00.000-0300,BRL,false,RIZA LIQUIDOS GESTORA DE RECURSOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Multimercados,Multimercados Macro,-,true,500,100,100,15:20,15:20,D+0,D+60,D+61,D+0,0.8,,20,0.1179437,0.2873671,4.138398,CREDITO_POS,,false,false,947538
BTG REF OURO FICFIM,36498594000150,,3725948,2020-04-29T00:00:00.000-0300,BRL,false,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Multimercados,Multimercados Estrategica Especifica,CDI,true,500,500,500,12:40,12:40,D+0,D+7,D+8,D+0,0.2,,,0.18654110000000002,-4.6739228,1.9393706000000002,TEMATICOS,,false,false,1180223
AUGME FIRF INCENT EM INFRA,49598896000141,,9019398,2023-03-02T00:00:00.000-0300,BRL,false,AUGME CAPITAL GESTAO DE RECURSOS LTDA.,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORE,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORE,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre crédito livre,CDI,true,500,500,500,14:10,14:10,D+0,D+30,D+31,D+0,0.75,,20,-0.2349371,-0.0664622,3.0437943,INFLACAO,,false,false,9275171
Jubarte MIgration II FICFIM,53643941000100,,9493564,2024-01-31T00:00:00.000-0300,BRL,false,JUBARTE STRATEGIC CAPITAL LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Multimercados,Multimercados Macro,CDI,true,1000,100,100,15:20,15:20,D+1,D+30,D+31,D+0,2,,20,-0.2492153,-1.1371518,4.8920832,,,false,false,15200121
Empiricus Essential Crypto FIM,57075941000101,,10992818,2024-08-30T00:00:00.000-0300,BRL,false,EMPIRICUS ASSET MANAGEMENT LTDA,BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Multimercados,Multimercado livre,CDI,true,1000,100,1000,15:20,15:20,D+0,D+3,D+5,D+0,1.5,,20,-1.7439407,-8.933439,-30.1550497,CRIPTOATIVO,,false,false,19183586
BV IRF-M1+ FICFIRF LP,13060032000124,BRVOT3CTF004,1927844,2011-03-21T00:00:00.000-0300,BRL,false,TIVIO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES,BEM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,BANCO BRADESCO S.A.,Investidores em geral (Não qualificados),Renda Fixa,RF Indexados,CDI,true,100,100,100,14:10,14:10,D+0,D+0,D+1,D+0,0.35000000000000003,,0,-0.058621400000000004,-0.5636412000000001,2.8824788,PRE_FIXADO,,false,false,663614
SULAMERICA PREMIUM PLUS FIRF REF DI CrPr,47715703000160,,8483557,2023-06-09T00:00:00.000-0300,BRL,false,SUL AMERICA GESTAO DE INVESTIMENTOS S.A.,SUL AMERICA INVESTIMENTOS DISTRIBUIDORA DE TITULOS,BANCO BRADESCO S.A.,Investidores em geral (Não qualificados),Renda Fixa,RF duração baixa grau de investimento,CDI,false,1000,1000,1000,14:10,14:10,D+0,D+0,D+1,D+0,0.3,,,0.0532125,0.5927164,6.2980565,CREDITO_POS,,false,false,8904940
NORD MELHORES FUNDOS FOF MM FC FIM CrPr,45123847000100,BR0BJHCTF009,5656241,2022-03-21T00:00:00.000-0300,BRL,false,NORD GESTORA DE RECURSOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Multimercados,Multimercado livre,CDI,true,0,1,0,15:20,15:20,D+1,D+30,D+32,D+0,0.5,,10,-0.1766655,-0.1265707,3.8150819,,,false,false,3671096
SAFARI FICFIM II,23960625000109,BRSFD4CTF006,1694857,2016-04-29T00:00:00.000-0300,BRL,false,SAFARI CAPITAL GESTAO DE RECURSOS LTDA.,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BNY MELLON BANCO SA,Investidores em geral (Não qualificados),Multimercados,Multimercado livre,CDI,true,5000,1000,5000,13:40,13:40,D+0,D+27,D+29,D+0,1.8,,20,-0.8549045000000001,-2.2678757,-4.0699796,LONG_BIASED,,false,false,542560
Tenax Ações Master Subclasse I,45127383000100,,5546266,2022-02-25T00:00:00.000-0300,BRL,false,TENAX CAPITAL LTDA,BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Ações,Ações Livre,IBOVESPA,true,0,0,0,14:40,14:40,D+1,D+28,D+30,D+0,1.9000000000000001,,20,-0.668037,-2.0154035,-3.435453,LONG_ONLY,QYPQW1759249899,false,false,3500694
PIMCO INCOME DOLAR FICFIM IE LP RL,32225478000106,,1834602,2019-02-27T00:00:00.000-0300,USD,false,PIMCO LATIN AMERICA ADM DE CARTEIRAS LTDA,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Multimercados,Multimercados Investimento no Exterior,CDI,true,5000,1000,1000,14:10,14:10,D+1,D+1,D+6,D+0,0.93,,,1.1178549,1.2940106,-6.2268642,CREDITO_POS,,false,false,607302
ARX DENALI FIRF CrPr,30921203000181,BR006FCTF003,1705309,2018-08-24T00:00:00.000-0300,BRL,false,ARX INVESTIMENTOS LTDA,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Renda Fixa,RF duração baixa grau de investimento,CDI,true,1000,1000,1000,14:10,14:10,D+0,D+0,D+1,D+0,0.4,,,0.0462274,0.5794719,6.1736809,CREDITO_POS,,false,false,548358
Schroder Gaia TS Diversified BRL FIM IE,28856772000149,BRDVR2CTF001,10954880,2017-12-27T00:00:00.000-0300,BRL,false,GAMA INVESTIMENTOS LTDA,INTRAG DISTR DE TITULOS EVALORES MOBILIARIOS LTDA,ITAU UNIBANCO S.A.,Investidores qualificados,Multimercados,Multimercados Investimento no Exterior,CDI,false,1000,500,1000,14:10,14:10,D+0,D+7,D+10,D+0,0.6,,,0.5962422,2.4321171,9.8999051,INVESTIMENTO_EXTERIOR_RV,,false,false,18918277
CAPITANIA INFRA 90 FIC FI INFRA,26605199000175,,1897034,2018-12-27T00:00:00.000-0300,BRL,false,CAPITANIA CAPITAL S/A,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Renda Fixa,RF duração alta crédito livre,CDI,false,0,0,0,13:40,13:40,D+0,D+29,D+30,D+0,0.9,,0,-0.0816807,-0.6168495,2.9729413,INFLACAO,,false,false,634744
Jive Bossanova 90 FIDC,58893662000118,,12936481,2025-02-11T00:00:00.000-0300,BRL,false,JIVE HIGH YIELD GESTAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A.,,Investidores em geral (Não qualificados),Direitos Creditórios,Direitos Creditórios,CDI,true,500,0,500,13:40,13:40,D+0,D+90,D+91,D+0,0.05,,10,0.0545773,0.6014746,7.6891381,CREDITO_ESTRUTURADO_1,,false,false,20125608
WHG Casa Hedge Institucional FICFIM RL,58211682000161,,17648587,2024-11-29T00:00:00.000-0300,BRL,false,WEALTH HIGH GOVERNANCE ASSET MANAGEMENT LTDA,INTRAG DISTR DE TITULOS EVALORES MOBILIARIOS LTDA,,Investidores qualificados,Multimercados,Multimercado livre,CDI,true,5000,5000,5000,14:10,14:10,D+1,D+27,D+30,D+0,2,,,0.3894862,0.0282756,14.2044794,,,false,false,63201011
JPM Dolar Global Macro Opport FIM IE,24454718000116,BRDLG1CTF008,3579570,2016-05-17T00:00:00.000-0300,USD,false,BNP PARIBAS ASSET MANAGEMENT BRASIL LTDA,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores qualificados,Multimercados,Multimercados Investimento no Exterior,CDI,false,5000,1000,1000,14:10,14:10,D+1,D+1,D+5,D+0,1.4000000000000001,,,0.5762631,-0.0600911,-9.1433089,,,false,false,1139246
Dhalia Macro Global FICFIM,35432385000140,,2674679,2019-12-13T00:00:00.000-0300,USD,false,DAHLIA CAPITAL GESTAO DE RECURSOS LTDA.,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores qualificados,Multimercados,Multimercado livre,CDI,true,500,100,100,14:10,14:10,D+1,D+30,D+32,D+0,1.35,,15,-0.3146174,0.0516781,5.5279442,,,false,false,963316
EXPLORITAS ALPHA AMERICA LATINA FICFIM,19628666000117,,1760272,2014-04-30T00:00:00.000-0300,BRL,false,EXPLORITAS ADMINISTRACAO FINANCEIRA LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Multimercados,Multimercado livre,CDI,true,5000,1000,5000,15:20,15:20,D+0,D+30,D+33,D+0,2,,20,-4.9689951,-14.1919604,-26.0188963,,,false,false,566205
BRADESCO DEBÊNTURES INCENTIVADAS CDI II CLASSE DE COTAS DE INVESTIMENTO EM COTAS DE INVESTIMENTO RENDA FIXA INCENTIVADO EM INFRAESTRUTURA LONGO PRAZO,54829603000120,,10844356,2024-04-30T00:00:00.000-0300,BRL,false,BANCO BRADESCO S.A.,BANCO BRADESCO S.A.,BANCO BRADESCO S.A.,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre crédito livre,CDI,false,1000,1000,1000,14:10,14:10,D+0,D+30,D+31,D+0,0.8,,0,0.2093693,1.1069651,5.129513,CREDITO_POS,,false,false,18302208
M8 CAPITAL PLUS FIRF CrPr,39958460000162,,3806289,2020-12-14T00:00:00.000-0300,BRL,false,M8 PARTNERS GESTORA DE RECURSOS LTDA.,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores qualificados,Renda Fixa,RF duração livre crédito livre,CDI,true,1000,1000,1000,15:10,15:10,D+0,D+31,D+32,D+0,1,,10,0.0516278,0.6366841,6.5499964,CREDITO_POS,,false,false,1234158
MORE PREMIUM CRED CORP RF CrPr LP,23600995000127,,1851054,2016-03-29T00:00:00.000-0300,BRL,false,MORE INVEST GESTORA DE RECURSOS LTDA.,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre crédito livre,CDI,true,100,100,100,15:20,15:20,D+1,D+4,D+5,D+0,0.8,,20,0.0590884,0.5343565,5.9490764,CREDITO_POS,,false,false,615883
PS CHINA ADVANTAGE A21 FIA IE,41514699000195,,5091592,2021-04-26T00:00:00.000-0300,BRL,false,BTG PACTUAL GESTAO E CONSULTORIA DE INVESTIMENTOS,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores profissionais,Ações,Ações Investimento no Exterior,-,true,10000,10000,10000,15:20,15:20,D+1,D+120,D+122,D+0,0.75,,0,0,0,6.5210811,LONG_ONLY,,false,false,2853139
Opportunity Income FICFIRF LP RL,54307808000145,,11625269,2024-11-28T00:00:00.000-0300,BRL,false,OPPORTUNITY GESTAO DE INVESTIMENTOS E RECURSOS LTD,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre grau de investimento,CDI,true,5000,1000,5000,14:10,14:10,D+0,D+0,D+1,D+0,1,,20,-0.0529764,0.5009953,3.3347815,ATIVO,,false,false,19696608
NORD 10X FIA,51681170000110,BR0GIQCTF001,8646874,2023-09-04T00:00:00.000-0300,BRL,false,NORD GESTORA DE RECURSOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Ações,Ações Índice Ativo,IBOVESPA,true,0,1,0,15:20,15:20,D+1,D+30,D+32,D+0,1.5,,20,-0.5744389999999999,-4.504536,-13.9432746,LONG_ONLY,,false,false,9102556
KAPITALO STRATA LOW VOL FIM SUB GERAL,63104903000132,BR0QFWCTF004,17804247,2026-04-06T00:00:00.000-0300,BRL,false,KAPITALO INVESTIMENTOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Multimercados,Multimercado livre,CDI,true,500,100,100,14:40,14:40,D+0,D+0,D+2,D+0,0.65,,20,-0.021758800000000002,0.5335182,3.2982789,,XT5TY1779918130,false,false,63773243
Valora Vanguard FIC FIDC,59657690000107,,13089602,2025-03-10T00:00:00.000-0300,BRL,false,VALORA RENDA FIXA LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Direitos Creditórios,Direitos Creditórios,CDI,true,100,100,100,14:40,14:40,D+0,D+43,D+45,D+0,1,,20,0.0579024,0.6392122,6.8131276,CREDITO_ESTRUTURADO_1,,false,false,20216111
JGP SELECT PREMIUM FIM CrPr IE,26525450000191,BRJGS6CTF004,1956864,2017-01-19T00:00:00.000-0300,BRL,false,JGP GESTAO DE CREDITO LTDA,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores profissionais,Multimercados,Multimercados Investimento no Exterior,CDI,true,10000,1000,5000,14:10,14:10,D+0,D+0,D+1,D+0,1.3,,20,-0.0032743,0.7834822,6.0269048,CREDITO_POS,,false,false,621859
IP ATLAS USD FICFIA RL,35939847000110,,2866737,2020-03-27T00:00:00.000-0300,USD,false,INVESTIDOR PROFISSIONAL GESTAO DE RECURSOS LTDA,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Ações,Ações Livre,-,true,1000,100,0,14:10,14:10,D+1,D+10,D+14,D+0,1.5,,15,0.4298772,-1.4279089,-12.2258342,LONG_ONLY,,false,false,1012765
ATHENA TOTAL RETURN II FICFIA,23186344000132,,1643994,2015-09-29T00:00:00.000-0300,BRL,false,SUL AMERICA INVESTIMENTOS GESTORA DE RECURSOS S.A.,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE,Investidores em geral (Não qualificados),Ações,Ações Livre,IBOVESPA,true,1000,1,0,15:20,15:20,D+1,D+30,D+32,D+0,3,,,-0.0880062,-3.4427475,-4.1687678,LONG_BIASED,,false,false,534508
BTG MOBIUS EMERGING MARKETS FIM IE,31964074000171,,3851781,2018-12-11T00:00:00.000-0300,USD,false,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores qualificados,Multimercados,Multimercados Investimento no Exterior,-,true,5000,5000,5000,15:00,15:00,D+1,D+2,D+5,D+0,1,,,1.3225485,3.7239008,19.3378313,LONG_ONLY,,false,false,1178941
ABSOLUTE ATENAS P FICFIRF CrPr,47612663000120,,6734529,2022-10-28T00:00:00.000-0300,BRL,false,ABSOLUTE CREDITO GESTAO DE INVESTIMENTOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre crédito livre,CDI,true,0,0,0,15:20,15:20,D+0,D+0,D+1,D+0,0.38,,0,0.055451,0.6385063,6.0361641,CREDITO_POS,,false,false,5442523
BTG CRED CORP DINAMICO FICFIRF CrPr,50877951000111,BR0FR1CTF002,7907040,2023-06-01T00:00:00.000-0300,BRL,false,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre grau de investimento,CDI,true,100,100,100,15:20,15:20,D+0,D+10,D+11,D+0,0.7000000000000001,,20,0.0561932,0.6660046000000001,6.6970033,CREDITO_POS,,false,false,8521969
Plural Debent Inc Hedge CrPr 30 FICFIM,30178843000143,BR01AGCTF005,1829935,2019-04-01T00:00:00.000-0300,BRL,false,PLURAL GESTAO DE RECURSOS LTDA,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Renda Fixa,Renda Fixa Crédito Livre,CDI,true,100,100,100,14:10,14:10,D+0,D+30,D+31,D+0,1,,20,0.1466517,1.0620165,5.0557039999999995,CREDITO_POS,,false,false,605506
SUL AMERICA RETORNO TOTAL FIRF LP,23502654000119,BRSLR9CTF001,7158841,2022-01-21T00:00:00.000-0300,BRL,false,SUL AMERICA INVESTIMENTOS GESTORA DE RECURSOS S.A.,SUL AMERICA INVESTIMENTOS DISTRIBUIDORA DE TITULOS,BANCO BRADESCO S.A.,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre soberano,CDI,true,1000,1000,1000,14:10,14:10,D+0,D+4,D+5,D+0,1.2,,20,0.0493841,0.06922880000000001,4.7858458,ATIVO,,false,false,6000082
BTG Credito Bancario FIRF,64201861000110,BR0R32CTF004,16618251,2025-12-31T00:00:00.000-0300,BRL,false,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre crédito livre,CDI,true,0,0,0,16:40,16:40,D+0,D+0,D+0,D+0,0.4,,0,0.0613434,0.6875406000000001,6.580439999999999,POS_FIXADO,,false,false,61164458
BTG REF SEMICONDUT FIM,43274439000115,,4919770,2021-09-03T00:00:00.000-0300,USD,false,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Multimercados,Multimercados Estrategica Especifica,-,true,0,1,0,15:20,15:20,D+1,D+1,D+4,D+0,0.25,,,-4.9515887,3.9598978000000002,70.5492108,LONG_ONLY,,false,false,2552947
M8 Credit Advanced FICFIDC,50716952000184,BR0FMDCTF003,7907014,2023-06-06T00:00:00.000-0300,BRL,false,M8 PARTNERS GESTORA DE RECURSOS LTDA.,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores qualificados,Direitos Creditórios,Direitos Creditórios,CDI,false,100,100,100,15:10,15:10,D+0,D+90,D+91,D+0,1,,20,0.0626195,0.6745055,7.122185999999999,CREDITO_ESTRUTURADO_1,,false,false,8518115
BRADESCO OURO FICFIM,37235773000167,BR04J8CTF006,5732510,2020-06-09T00:00:00.000-0300,BRL,false,BANCO BRADESCO S.A.,BEM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,BANCO BRADESCO S.A.,Investidores em geral (Não qualificados),Multimercados,Multimercados Estrategica Especifica,CDI,true,100,100,100,11:40,11:40,D+0,D+5,D+6,D+0,0.5,,0,0.0638055,-4.7404334,1.62384,TEMATICOS,,false,false,3833009
EMPIRICUS CRIPTOMOEDAS FICFIM IE,33736767000132,,4868573,2021-08-27T00:00:00.000-0300,BRL,false,EMPIRICUS ASSET MANAGEMENT LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores qualificados,Multimercados,Multimercados Investimento no Exterior,-,true,100,0.01,0.01,16:10,16:10,D+0,D+10,D+13,D+0,0.05,,,-1.1031262,-7.057956,-30.8413657,CRIPTOATIVO,,false,false,2497020
ICATU VANGUARDA CrPr LIQUIDEZ FIRF LP,44917374000141,,6777377,2006-05-17T00:00:00.000-0300,BRL,false,ICATU VANGUARDA GESTAO DE RECURSOS LTDA,BEM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,BANCO BRADESCO S.A.,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre crédito livre,CDI,true,500,500,500,14:10,14:10,D+0,D+0,D+1,D+0,0.4,,20,0.0568751,0.5764171,6.0788787,CREDITO_POS,UYXKV1750167974,false,false,4725682
