name,cnpj,isin,assetCode,fundBegin,currency,isEsg,manager,administrator,custody,investmentType,categoryCvm,anbimaRating,benchmark,applyOpen,minimumInitialInvestment,minimumMoviment,minimumBalanceRemain,timeLimit,hourInvestimentRescue,investimentQuota,rescueQuota,rescueFinancialSettlement,investmentFinancialSettlement,administrationFee,administrationFeeMax,performanceFee,profitabilityDay,profitabilityMonth,profitabilityYear,subcategoryInitials,subclassCode,isExternalPensionFund,isPensionFund,fundCGE
BTG CRED CORP PLUS INCENTIVADO INFRA RF,62438200000188,,15021590,2025-08-29T00:00:00.000-0300,BRL,false,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre crédito livre,CDI,true,0,0,0,14:40,14:40,D+0,D+10,D+11,D+0,1,,20,0.07935450000000001,0.9267558,5.8808427,CREDITO_POS,,false,false,57191621
SYNER EH SUB A PCO,60018029000122,,13212242,2025-03-31T00:00:00.000-0300,BRL,false,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE,BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM,BANCO BTG PACTUAL S A,Investidores qualificados,Multimercados,Multimercado livre,CDI,true,0,1,0,14:40,14:40,D+1,D+30,D+32,D+0,2,,20,-0.1851178,1.2054956,3.9664009,LONG_SHORT,WTZYS1742999294,false,false,20422732
BV CREDITO ATIVO RF CrPr LP FI,04240128000183,BRVTGECTF003,3076851,2001-04-02T00:00:00.000-0300,BRL,false,TIVIO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES,BEM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,BANCO BRADESCO S.A.,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre crédito livre,CDI,true,1000,1000,1000,14:10,14:10,D+0,D+15,D+16,D+0,0.5,,20,0.0627243,0.6270437,6.2624283,CREDITO_POS,,false,false,1050333
Claritas FIRF CrPr LP,11447136000160,BRCLAFCTF000,2343440,2010-05-04T00:00:00.000-0300,BRL,false,PRINCIPAL ASSET MANAGEMENT LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre crédito livre,CDI,true,1000,1,1,15:20,15:20,D+0,D+30,D+31,D+0,0.5,,,0.0617379,0.6554753,6.5127349,CREDITO_POS,,false,false,856169
ABSOLUTE HEDGE FICFIM RL,18860059000115,BRABH1CTF002,1699154,2013-09-30T00:00:00.000-0300,BRL,false,ABSOLUTE GESTAO DE INVESTIMENTOS LTDA.,BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Multimercados,Multimercado livre,CDI,true,500,500,100,13:40,13:40,D+0,D+4,D+5,D+0,1.9000000000000001,,20,0.057685,0.1551929,4.7570666,,,false,false,545860
INVESTO MEGA TRENDS FIA,45823709000125,BR0EE9CTF001,9222006,2022-12-12T00:00:00.000-0300,BRL,false,INVESTO GESTAO DE RECURSOS LTDA,BANCO BNP PARIBAS BRASIL S.A.,BANCO BNP PARIBAS BRASIL S.A.,Investidores em geral (Não qualificados),Ações,Ações Livre,-,true,500,250,250,14:10,14:10,D+0,D+3,D+5,D+0,1,,,-2.558525,-0.8408859999999999,7.9928172,LONG_ONLY,,false,false,9550068
HASHDEX CRYPTO TOP PERF FICFIM RL,40212940000169,,9052404,2023-11-23T00:00:00.000-0300,BRL,false,HASHDEX GESTORA DE RECURSOS LTDA.,BNY MELLON SERVICOS FINANCEIROS DISTRIBUIDORA DE T,BNY MELLON BANCO S.A,Investidores qualificados,Multimercados,Multimercados Investimento no Exterior,CDI,true,500,500,500,14:10,14:10,D+1,D+1,D+6,D+0,1.8,,20,-2.9740916,-8.3718445,-34.7078061,CRIPTOATIVO,,false,false,9432643
BTG DIV ACOES GLOB BDR NIVEL I FIA,39800632000175,BR084OCTF002,5106738,2020-11-30T00:00:00.000-0300,BRL,false,BTG PACTUAL GESTAO E CONSULTORIA DE INVESTIMENTOS,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Ações,Ações Livre,-,true,1,1,1,15:20,15:20,D+1,D+1,D+4,D+0,1,,,-0.5839357000000001,-0.2013723,14.0366039,LONG_ONLY,,false,false,2865036
Novus RF Exclusive FICFI LP,31932715000106,BR01HMCTF008,6051679,2019-04-30T00:00:00.000-0300,BRL,false,NOVUS CAPITAL GESTORA DE RECURSOS LTDA,INTRAG DISTR DE TITULOS EVALORES MOBILIARIOS LTDA,ITAU UNIBANCO S.A.,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre grau de investimento,CDI,true,500,100,100,14:10,14:10,D+0,D+3,D+4,D+0,0.9,,20,0.0493692,0.4630838,3.320938,ATIVO,,false,false,4165576
REGIA GLOBAL HEALTH SCIENCES FICFIA RL,18628905000176,BRGPH4CTF004,4141263,2021-02-04T00:00:00.000-0300,BRL,false,REGIA CAPITAL LTDA,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Ações,Ações Investimento no Exterior,CDI,false,10000,1000,5000,14:10,14:10,D+1,D+30,D+35,D+0,1.75,,,0.3615646,0.9835976000000001,-14.5668958,LONG_ONLY,,false,false,1310071
SPX Seahawk Infra ICPA FICFIRF CrPr,63945358000107,,16976423,2026-02-23T00:00:00.000-0300,BRL,false,SPX GESTAO DE RECURSOS LTDA,INTRAG DISTR DE TITULOS EVALORES MOBILIARIOS LTDA,,Investidores em geral (Não qualificados),Multimercados,Multimercado livre,CDI,true,1000,1000,1000,14:10,14:10,D+0,D+30,D+31,D+0,0.3,,,0.040511,0.3286865,2.1123499999999997,INFLACAO,,false,false,60983933
CAPITANIA RADAR 90 FIM CrPr LP,23272391000107,BRMGI2CTF000,5167322,2015-12-10T00:00:00.000-0300,BRL,false,CAPITANIA CAPITAL S/A,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores qualificados,Multimercados,Multimercado livre,CDI,false,1000,1000,1000,14:10,14:10,D+0,D+89,D+90,D+0,0.75,,20,-0.0047906,0.8330252,0.1824983,CREDITO_POS,,false,false,2970988
Polo Crédito Corporativo FICFIRF LP,57661754000100,BR0M84CTF006,11332303,2024-10-28T00:00:00.000-0300,BRL,false,POLO CAPITAL GESTAO DE RECURSOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre crédito livre,CDI,true,500,100,100,14:40,14:40,D+0,D+30,D+31,D+0,0.5,,20,0.0430636,0.5958739000000001,5.9008449999999995,CREDITO_POS,,false,false,19492933
WESTERN ASSET FIA BDR NIVEL I,19831126000136,BRWES6CTF009,1705333,2014-05-06T00:00:00.000-0300,USD,false,FRANKLIN TEMPLETON BRASIL LTDA,BANCO BNP PARIBAS BRASIL S.A.,BANCO BNP PARIBAS BRASIL S.A.,Investidores em geral (Não qualificados),Ações,Ações Livre,-,true,500,100,500,14:10,14:10,D+1,D+1,D+4,D+0,1.5,,,-0.1615123,-2.1601449,-5.1776378,LONG_ONLY,,false,false,548368
JGP Debentures Inc Juros Reais 60,54237051000160,,10533907,2024-05-06T00:00:00.000-0300,BRL,false,JGP GESTAO DE CREDITO LTDA,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores qualificados,Renda Fixa,RF duração livre crédito livre,-,true,1000,1000,1000,14:10,14:10,D+0,D+60,D+61,D+0,1,,20,-0.08090599999999999,0.2082647,3.3662599,INFLACAO,,false,false,18332542
EMPIRICUS WB90 FIA BDR NI,38318335000125,,6066694,2020-09-14T00:00:00.000-0300,BRL,false,EMPIRICUS ASSET MANAGEMENT LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Ações,Ações Investimento no Exterior,-,true,0.01,0.01,0.01,16:10,16:10,D+1,D+10,D+12,D+0,0.9,,0,-0.052891600000000004,1.8699252,6.4016986,LONG_ONLY,,false,false,4166067
KADIMA EQUITIES FICFIA,12845796000162,BRKDM8CTF006,1875999,2010-12-17T00:00:00.000-0300,BRL,false,KADIMA GESTAO DE INVESTIMENTOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Ações,Ações Livre,IBOVESPA,true,500,500,500,14:40,14:40,D+0,D+5,D+7,D+0,1.35,,20,-0.9872799,-2.8313183,-1.6848318,LONG_ONLY,,false,false,626519
NEWFOUNDLAND EAGLE LB FIA,42747231000103,,4782937,2021-08-06T00:00:00.000-0300,BRL,false,NEWFOUNDLAND MALIBU GESTORA DE RECURSOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Ações,Ações Livre,IBOVESPA,false,0,1,0,15:20,15:20,D+1,D+30,D+32,D+0,2,,20,-0.4671665,-1.1735821,1.2023719,LONG_BIASED,,false,false,2392621
Pershing Square USD FIA IE Access,38048878000170,,3656642,2020-08-19T00:00:00.000-0300,USD,false,BTG PACTUAL GESTAO E CONSULTORIA DE INVESTIMENTOS,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores qualificados,Ações,Ações Investimento no Exterior,-,true,10000,10000,10000,15:20,15:20,D+1,D+1,D+3,D+0,0.65,,,0.3939978,-4.2638163,-24.3885625,LONG_ONLY,,false,false,1167001
EMPIRICUS MONEY RIDER HEDGE FUND FIM IE,35120080000101,BR03CVCTF006,6065613,2019-12-17T00:00:00.000-0300,BRL,false,EMPIRICUS ASSET MANAGEMENT LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores qualificados,Multimercados,Multimercados Investimento no Exterior,-,true,100,100,100,16:10,16:10,D+0,D+30,D+32,D+0,0.9,,10,-0.5426618,-0.5826421,0.2454887,,,false,false,4165965
AZ QUEST SMALL MID CAPS FICFIA,11392165000172,BRQUE5CTF005,1675665,2009-12-30T00:00:00.000-0300,BRL,false,AZ QUEST INVESTIMENTOS LTDA.,INTRAG DISTR DE TITULOS EVALORES MOBILIARIOS LTDA,INTRAG DISTR DE TITULOS EVALORES MOBILIARIOS LTDA,Investidores em geral (Não qualificados),Ações,Ações Livre,-,true,1000,500,500,14:10,14:10,D+1,D+27,D+29,D+0,2,,20,-0.7682206,-1.7266624,-3.4979461,SMALL_CAPS,,false,false,539324
BB ASSET RENDA FIXA LONGO PRAZO HIGH FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,58341429000122,,14212604,2025-05-15T00:00:00.000-0300,BRL,false,BB GESTAO DE RECURSOS - DISTRIBUIDORA DE TITULOS,BB GESTAO DE RECURSOS - DISTRIBUIDORA DE TITULOS,,Investidores em geral (Não qualificados),Renda Fixa,RF duração média grau de investimento,CDI,true,200,0,0,14:10,14:10,D+1,D+0,D+1,D+0,0.35000000000000003,,,0.0480709,0.6433595,6.2266578,POS_FIXADO,,false,false,21610924
BTG Multigestor Total Return RV FIM,62074308000139,,14838347,2025-09-04T00:00:00.000-0300,BRL,false,BTG PACTUAL GESTAO E CONSULTORIA DE INVESTIMENTOS,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores qualificados,Multimercados,Multimercado livre,CDI,true,1000,200,200,13:20,13:20,D+1,D+60,D+62,D+0,0.5,,10,0.2777708,-0.5657005,1.3932559999999998,MACRO,,false,false,57006915
Clave Equity Hedge P FICFIM,49861670000191,BR0EZBCTF002,7437234,2023-03-10T00:00:00.000-0300,BRL,false,SPRINGS CAPITAL LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores qualificados,Multimercados,Multimercado livre,CDI,true,5000,1000,1000,15:20,15:20,D+1,D+60,D+62,D+0,1.95,,,-0.2840197,-1.3395637,5.7365025,LONG_SHORT,,false,false,7918535
Bradesco Sky DI FICFIRFRef,04831907000153,BRBSKYCTF007,8019851,2002-02-04T00:00:00.000-0300,BRL,false,BANCO BRADESCO S.A.,BANCO BRADESCO S.A.,BANCO BRADESCO S.A.,Investidores em geral (Não qualificados),Renda Fixa,RF duração baixa grau de investimento,CDI,true,30,30,30,14:10,14:10,D+0,D+0,D+0,D+0,0.45,,0,0.0576346,0.6436937,6.2605387,POS_FIXADO,,false,false,8667781
MAG Premium DI FIRFRef CrPr,44211851000159,,9808341,2021-12-29T00:00:00.000-0300,BRL,false,MONGERAL AEGON INVESTIMENTOS LTDA,BEM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,BANCO BRADESCO S.A.,Investidores em geral (Não qualificados),Renda Fixa,RF duração baixa grau de investimento,CDI,true,1000,500,500,13:40,13:40,D+0,D+0,D+0,D+0,0.4,,,0.0530602,0.6486239,6.3602444,CREDITO_POS,,false,false,15324049
VOKIN K2 LB FIA,13962941000158,BRVKN2CTF006,2001842,2012-04-24T00:00:00.000-0300,BRL,false,VOKIN ADMINISTRACAO DE RECURSOS LTDA,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORE,BANCO BRADESCO S.A.,Investidores em geral (Não qualificados),Ações,Ações Livre,IBOVESPA,true,1000,1000,1000,13:40,13:40,D+0,D+14,D+15,D+0,1.8,,20,0.3001284,-4.2265663,-8.4431894,LONG_BIASED,,false,false,781815
EMPIRICUS ATRIUM FICFIDC CrPr,46391535000131,BR0CEMCTF008,6430473,2022-06-30T00:00:00.000-0300,BRL,false,EMPIRICUS ASSET MANAGEMENT LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores qualificados,Direitos Creditórios,Direitos Creditórios,CDI,true,1000,100,100,16:10,16:10,D+0,D+72,D+73,D+0,0.75,,10,0.0582033,0.6558292,6.9588669,CREDITO_ESTRUTURADO_1,,false,false,4517637
RIZA STATHEROS FICFIM CrPr,42260903000151,BR0E15CTF007,7386269,2021-07-30T00:00:00.000-0300,BRL,false,RIZA SECURITIZACAO E CARTEIRAS GESTORA DE RECURSOS,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores qualificados,Direitos Creditórios,Direitos Creditórios,CDI,true,500,500,500,15:20,15:20,D+0,D+85,D+86,D+0,0.8,,,0.0609083,0.6646024,7.1490117,CREDITO_ESTRUTURADO_1,,false,false,6752778
