Prefixo;grupo;codigo_ativo;data_referencia;data_vencimento;percentual_taxa;taxa_compra;taxa_venda;taxa_indicativa;desvio_padrao;val_min_intervalo;val_max_intervalo;pu;percent_pu_par;duration;percent_reune;emissor
consultoria;DI SPREAD;MVLVA1;2026-05-19;2027-12-22;DI + 2,9000%;2.7638;2.1256;2.4224;0.21;2.21;2.63;714.881671;100.44;242.0;--;MOVIDA PARTICIPACOES S/A (*)
consultoria;DI SPREAD;NTSD16;2026-05-19;2029-02-15;DI + 1,2000%;0.8951;0.6876;0.7914;0.01;0.77;0.8;730.192603;100.93;577.0;--;NOVA TRANSPORTE DO SUDESTE S.A. - NTS (*)
consultoria;IPCA SPREAD;NTSDA1;2026-05-19;2041-03-15;IPCA + 6,3198%;7.5149;7.3733;7.4369;0.06;7.37;7.5;934.437988;90.83;2285.0;5%;NOVA TRANSPORTE DO SUDESTE S.A. - NTS (*)
consultoria;DI SPREAD;OMGE15;2026-05-19;2029-06-15;DI + 1,6500%;;;1.3732;0.07;1.29;1.45;1072.668642;100.65;603.0;--;OMEGA GERAÇÃO S/A (*) (**)
consultoria;IPCA SPREAD;OMGE41;2026-05-19;2027-05-15;IPCA + 5,0000%;8.5446;7.9091;8.1065;0.22;7.88;8.33;1418.752726;97.2;244.0;--;OMEGA GERAÇÃO S/A
consultoria;DI SPREAD;ONCO19;2026-05-19;2027-11-25;DI + 1,6200%;;;;;;;685.468274;64.66;;--;ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S.A. (*) (**)
consultoria;DI SPREAD;OPCT17;2026-05-19;2030-07-27;DI + 2,0000%;1.6791;1.368;1.525;0.0;1.52;1.52;1021.075535;101.17;629.0;--;OCEANPACT SERVICOS MARITIMOS S.A.  (*)
consultoria;PREFIXADO;ORIG21;2026-05-19;2035-12-15;PREFIXADO + 14,1500%;;16.8353;16.8744;0.26;16.6;17.14;955.613275;90.48;1046.0;--;ORIGEM ENERGIA S.A (*)
consultoria;DI SPREAD;ORMA17;2026-05-19;2035-12-15;DI + 1,4500%;1.5191;1.35;1.4405;0.01;1.42;1.45;1060.097879;100.04;1118.0;--;ORIZON MEIO AMBIENTE S.A.
consultoria;DI SPREAD;OVSAA9;2026-05-19;2029-11-18;DI + 2,5000%;2.8738;2.3738;2.625;0.15;2.47;2.77;997.631996;99.7;620.0;--;UNIDAS LOCACOES E SERVICOS S.A. (*)
consultoria;IPCA SPREAD;PALFA7;2026-05-19;2035-09-15;IPCA + 6,8967%;7.9844;7.7403;7.8191;0.05;7.76;7.87;989.880333;94.68;1593.0;45%;COMPANHIA PAULISTA DE FORÇA E LUZ (*)
consultoria;DI SPREAD;PALFA8;2026-05-19;2026-12-19;DI + 0,3000%;0.4151;0.25;0.3371;0.02;0.31;0.35;1049.502849;99.97;149.0;--;COMPANHIA PAULISTA DE FORÇA E LUZ (*)
consultoria;IPCA SPREAD;PETR38;2026-05-19;2045-06-15;IPCA + 6,8431%;7.3445;6.9334;7.0877;0.06;7.02;7.15;1044.681383;97.66;2593.0;--;PETRÓLEO BRASILEIRO S/A - PETROBRAS (*)
consultoria;DI SPREAD;PFOR16;2026-05-19;2030-07-15;DI + 1,4500%;1.5651;1.3023;1.4139;0.02;1.39;1.43;1052.347329;100.09;697.0;45%;PRIO FORTE S.A (*)
consultoria;DI SPREAD;PFOR26;2026-05-19;2032-07-15;DI + 1,6000%;1.6821;1.4491;1.5564;0.01;1.54;1.57;1053.518601;100.16;946.0;--;PRIO FORTE S.A (*)
consultoria;DI SPREAD;PRLG17;2026-05-19;2030-04-10;DI + 1,2000%;1.4;0.9993;1.145;0.1;1.03;1.25;1016.421196;100.16;762.0;40%;PROLAGOS S/A - C.S.PUBL. DE ÁGUA E ESGOTO (*)
consultoria;DI SPREAD;RADL15;2026-05-19;2029-01-25;DI + 1,4900%;0.8;0.4726;0.6388;0.05;0.58;0.69;1063.312222;101.56;464.0;--;RAIA DROGASIL S/A (*)
consultoria;DI SPREAD;RADLA1;2026-05-19;2032-11-10;DI + 0,4400%;0.8038;0.4431;0.6275;0.06;0.56;0.68;995.522017;99.22;1052.0;--;RAIA DROGASIL S/A (*)
consultoria;DI SPREAD;RDORB3;2026-05-19;2032-05-15;DI + 1,9000%;1.3;1.0019;1.15;0.0;1.14;1.15;1028.18962;102.69;909.0;--;REDE DOR SÃO LUIZ S/A (*) (**)
consultoria;DI SPREAD;RDORC9;2026-05-19;2031-08-20;DI + 1,9000%;1.2006;0.9761;1.0525;0.02;1.03;1.07;1064.463744;102.63;786.0;45%;REDE DOR SÃO LUIZ S/A (*)
consultoria;DI SPREAD;RDORD7;2026-05-19;2030-02-20;DI + 1,7000%;1.2274;0.8623;1.0332;0.04;0.99;1.07;1054.307296;101.7;647.0;--;REDE DOR SÃO LUIZ S/A (*)
consultoria;DI SPREAD;RDORG6;2026-05-19;2032-08-20;DI + 1,0000%;1.3005;1.0629;1.1845;0.02;1.15;1.21;1027.230441;99.24;1038.0;40%;REDE DOR SÃO LUIZ S/A (*)
consultoria;DI SPREAD;RDORI6;2026-05-19;2040-08-20;DI + 1,5500%;1.482;1.2388;1.3606;0.02;1.34;1.38;1047.579051;101.08;1464.0;35%;REDE DOR SÃO LUIZ S/A (*)
consultoria;DI SPREAD;RENTA5;2026-05-19;2033-08-11;DI + 2,3500%;1.4657;1.3099;1.3623;0.06;1.29;1.43;1082.44765;103.92;1006.0;50%;LOCALIZA RENT A CAR (*)
consultoria;IPCA SPREAD;RESA27;2026-05-19;2032-03-15;IPCA + 5,9645%;;;;;;;521.841738;41.63;;--;RAIZEN ENERGIA S/A (*) (**)
consultoria;IPCA SPREAD;ROTY13;2026-05-19;2031-03-15;IPCA + 6,9109%;7.9538;7.6757;7.8328;0.03;7.8;7.86;986.576246;96.52;1037.0;--;CONCESSIONARIA ROTA SOROCABANA SA (*)
consultoria;IPCA SPREAD;RUMOA2;2026-05-19;2029-02-15;IPCA + 4,5000%;9.252;8.8438;9.0504;0.06;8.98;9.11;1392.689473;93.24;410.0;10%;RUMO S/A
consultoria;IPCA SPREAD;RUMOB5;2026-05-19;2035-12-15;IPCA + 4,0000%;9.1721;8.7227;8.9261;0.13;8.78;9.06;1001.540197;72.21;1729.0;--;RUMO S/A (*) (**)
consultoria;IPCA SPREAD;SABP12;2026-05-19;2043-11-15;IPCA + 7,3274%;;10.0497;10.9726;0.03;10.94;11.0;1072.12516;79.87;1611.0;35%;RIO+ SANEAMENTO BL3 S.A (*)
