grupo;codigo_ativo;data_referencia;data_vencimento;percentual_taxa;percent_reune;emissor;taxa_compra;taxa_venda;taxa_indicativa;desvio_padrao;val_min_intervalo;val_max_intervalo;pu;percent_pu_par;duration
IPCA SPREAD;SRBS11;2026-06-16;2049-12-15;IPCA + 6,7092%;45%;SRBT SUBHOLDING S.A (*);7.6669;7.4915;7.5674;0.07;7.49;7.64;998.084243;93.45;2098.0
IPCA SPREAD;SRNA11;2026-06-16;2035-03-15;IPCA + 8,2427%;--;SERENA ENERGIA S.A (*);9.6222;9.0882;9.3578;0.06;9.29;9.42;1019.301928;94.30;1432.0
DI SPREAD;STBP25;2026-06-16;2031-08-15;DI + 0,7000%;--;SANTOS BRASIL PARTICIPAÇÕES S/A (*);0.9000;0.5713;0.7263;0.02;0.70;0.75;1045.663593;99.91;846.0
DI SPREAD;SUMI39;2026-06-16;2031-04-15;DI + 2,0000%;--;GIGA MAIS FIBRA TELECOMUNICACOES S.A. (*);5.8219;2.4894;3.8339;0.20;3.63;4.03;986.125289;96.15;549.0
IPCA SPREAD;SUZB19;2026-06-16;2030-06-15;IPCA + 6,0188%;--;SUZANO S.A. (*);7.9827;7.6285;7.8367;0.09;7.74;7.92;1079.279366;94.08;901.0
DI SPREAD;TSSG14;2026-06-16;2030-05-20;DI + 0,6700%;--;TRANSPORTADORA ASSOCIADA DE GAS S.A. - TAG (*);0.5686;0.2273;0.3803;0.07;0.30;0.45;813.412328;100.65;572.0
DI SPREAD;TUPY35;2026-06-16;2034-07-17;DI + 1,1800%;--;TUPY S/A (*);6.0286;1.9865;4.0855;0.59;3.48;4.68;941.950303;88.79;1032.0
DI SPREAD;UNIPB0;2026-06-16;2035-07-18;DI + 1,3500%;--;UNIPAR CARBOCLORO S/A (*);1.7426;1.4419;1.5994;0.08;1.51;1.68;1049.579609;98.87;1152.0
IPCA SPREAD;UNTE11;2026-06-16;2028-03-15;IPCA + 5,3418%;--;UNIFIQUE TELECOMUNICACOES S.A. (*);9.4367;;9.1614;0.27;8.88;9.43;437.579931;95.84;299.0
IPCA SPREAD;UTPS21;2026-06-16;2036-10-15;IPCA + 7,5000%;--;USINA TERMELETRICA PAMPA SUL S.A.;9.3670;9.0018;9.0119;0.16;8.85;9.17;1338.051962;92.88;1318.0
IPCA SPREAD;VALED1;2026-06-16;2037-05-15;IPCA + 6,7946%;--;VALE S/A (*);7.3977;7.0562;7.2340;0.06;7.17;7.29;1020.395881;96.84;1961.0
DI SPREAD;VBBR24;2026-06-16;2031-11-16;DI + 1,7500%;10%;VIBRA ENERGIA S.A (*);1.1944;0.9983;1.0805;0.03;1.04;1.11;1114.249573;102.11;800.0
IPCA SPREAD;VERO24;2026-06-16;2031-10-15;IPCA + 8,3524%;--;VERO S.A. (*);;;;;;;872.864006;78.90;
DI SPREAD;VIXL25;2026-06-16;2028-10-26;DI + 2,5000%;5%;VIX LOGÍSTICA S/A;1.3764;0.8117;1.1761;0.11;1.05;1.29;1037.934465;101.58;305.0
DI SPREAD;VIXL45;2026-06-16;2028-10-26;DI + 2,5000%;--;VIX LOGÍSTICA S/A;1.3806;0.8769;1.1794;0.12;1.05;1.30;1037.893386;101.58;305.0
IPCA SPREAD;VLIM15;2026-06-16;2031-04-15;IPCA + 6,1062%;45%;VLI MULTIMODAL S/A (*);8.2462;7.9694;8.0935;0.07;8.02;8.16;1038.602093;92.53;1049.0
DI SPREAD;YDUQA0;2026-06-16;2029-04-10;DI + 1,2500%;--;YDUQS PARTICIPACOES S.A (*);0.8767;0.6355;0.7575;0.04;0.71;0.80;1035.997850;100.96;496.0
DI SPREAD;AEGPA9;2026-06-16;2029-06-25;DI + 2,7500%;--;AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*);4.2472;3.4755;3.7388;0.10;3.63;3.84;1057.671048;98.12;496.0
DI SPREAD;AGPI11;2026-06-16;2027-06-27;DI + 1,9000%;--;AGUAS DO PIAUI SPE S.A. (*) (**);;;;;;;;;
IPCA SPREAD;ALGAB1;2026-06-16;2031-07-15;IPCA + 4,9999%;35%;ALGAR TELECOM S/A (*);9.5055;9.1038;9.2364;0.03;9.20;9.27;1161.214396;86.71;900.0
DI SPREAD;ALGTA6;2026-06-16;2033-02-22;DI + 1,2500%;5%;ALGAR TELECOM S/A (*);1.3000;0.9041;1.1359;0.05;1.07;1.19;1051.258328;100.45;1013.0
DI SPREAD;ALTF11;2026-06-16;2027-01-15;DI + 2,3000%;--;ALTHAIA S.A. INDUSTRIA FARMACEUTICA (*) (**);0.8766;0.3949;0.6123;0.39;0.21;1.01;517.764400;100.92;139.0
DI SPREAD;ANIM18;2026-06-16;2029-10-15;DI + 1,5000%;--;ANIMA HOLDING S/A (*);1.7029;1.2690;1.5054;0.05;1.45;1.55;1024.564662;99.98;612.0
DI SPREAD;ASAIA1;2026-06-16;2029-09-25;DI + 1,2500%;45%;SENDAS DISTRIBUIDORA S/A (*);2.1068;1.7500;1.8622;0.06;1.80;1.92;1018.766745;98.64;571.0
IPCA SPREAD;ASCP23;2026-06-16;2035-03-15;IPCA + 8,1500%;--;CONCESS. ROD. A. S. E C. PINTO S/A - ECOPISTAS (*);8.6563;8.3480;8.4968;0.11;8.37;8.61;1160.623505;98.31;1332.0
IPCA SPREAD;BARU11;2026-06-16;2043-03-15;IPCA + 7,7959%;5%;BARUERI ENERGIA RENOVAVEL S.A. (*);8.2627;8.0134;8.1374;0.08;8.04;8.22;1231.482789;97.62;1905.0
DI SPREAD;BTGH18;2026-06-16;2029-12-10;DI + 1,5000%;5%;BTG PACTUAL HOLDING S/A (*);1.3042;0.9865;1.1447;0.05;1.09;1.19;1009.801165;100.74;530.0
IPCA SPREAD;CASN34;2026-06-16;2037-04-15;IPCA + 10,6573%;--;COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*);9.0230;8.5356;8.6695;0.36;8.30;9.03;1163.915970;108.63;1168.0
IPCA SPREAD;CBAN32;2026-06-16;2034-07-15;IPCA + 5,2000%;--;CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A;8.2917;8.1492;8.2259;0.05;8.17;8.28;1445.998392;88.72;1045.0
IPCA SPREAD;CDES11;2026-06-16;2038-12-15;IPCA + 8,0361%;--;VPORTS AUTORIDADE PORTUARIA S/A (*);8.1360;7.8121;7.9921;0.10;7.88;8.09;1084.721210;100.26;1660.0
IPCA SPREAD;CEEBB6;2026-06-16;2030-08-15;IPCA + 6,2500%;--;CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*);8.4336;8.2062;8.2871;0.08;8.20;8.37;1098.205078;94.03;813.0
IPCA SPREAD;CEED17;2026-06-16;2036-09-15;IPCA + 6,6493%;--;COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*);8.2654;7.9916;8.0844;0.08;8.00;8.16;1017.498638;91.57;1644.0
DI SPREAD;CEPEB1;2026-06-16;2028-10-15;DI + 1,5400%;--;COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*) (**);1.2157;0.5666;0.9251;0.09;0.83;1.01;1034.833172;100.98;406.0
IPCA SPREAD;CEPEC2;2026-06-16;2032-04-15;IPCA + 6,2792%;--;COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*);8.3943;8.1393;8.2494;0.05;8.19;8.30;1131.000978;92.66;1040.0
IPCA SPREAD;CERR18;2026-06-16;2034-12-15;IPCA + 8,3082%;10%;CERRADINHO BIOENERGIA S/A (*);9.8413;9.6232;9.6676;0.19;9.46;9.86;1006.262782;93.16;1421.0
IPCA SPREAD;CESPA2;2026-06-16;2030-08-15;IPCA + 4,3000%;15%;CESP-COMPANHIA ENERGETICA DE SAO PAULO (*) (**);8.5233;8.2509;8.3624;0.14;8.21;8.50;1295.902285;89.47;728.0
IPCA SPREAD;CESPA3;2026-06-16;2034-04-15;IPCA + 6,1661%;--;CESP-COMPANHIA ENERGETICA DE SAO PAULO (*);8.4206;8.1535;8.2400;0.09;8.14;8.33;1008.218146;89.80;1389.0
IPCA SPREAD;CGASB4;2026-06-16;2040-09-15;IPCA + 6,5846%;--;COMPANHIA DE GAS DE SÃO PAULO - COMGAS (*);7.8640;7.6514;7.7530;0.05;7.69;7.80;959.257386;90.86;2183.0
IPCA SPREAD;CGOS24;2026-06-16;2031-10-15;IPCA + 6,4407%;5%;EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*);8.5550;8.3625;8.4780;0.11;8.35;8.59;1071.550102;93.11;944.0
DI SPREAD;CLIS11;2026-06-16;2031-10-10;DI + 3,2000%;--;CLI SUL S/A (*);;;1.7873;0.11;1.67;1.90;1076.501903;103.40;616.0
DI SPREAD;CMGDA2;2026-06-16;2032-03-15;DI + 0,8600%;15%;CEMIG DISTRIBUIÇÃO S/A (*);0.7704;0.5757;0.6751;0.06;0.60;0.74;1043.148745;100.67;926.0
IPCA SPREAD;CMGDA4;2026-06-16;2037-10-15;IPCA + 6,7878%;15%;CEMIG DISTRIBUIÇÃO S/A (*);7.7525;7.4816;7.5929;0.09;7.49;7.68;991.453246;94.55;1867.0
IPCA SPREAD;CMIN21;2026-06-16;2036-07-15;IPCA + 5,0210%;--;CSN MINERACAO S.A. (*);16.7659;14.0287;14.6293;0.12;14.50;14.75;757.823618;56.44;1546.0
IPCA SPREAD;CNRD12;2026-06-16;2043-05-15;IPCA + 7,6891%;15%;CONCESSIONARIA DA RODOVIA MS 306 S.A. (*);8.8911;8.6639;8.8010;0.01;8.78;8.81;968.656370;92.84;1793.0
DI SPREAD;COLNA3;2026-06-16;2032-01-15;DI + 0,8000%;5%;RODOVIAS DAS COLINAS S/A (*);0.9534;0.7692;0.8512;0.01;0.83;0.86;1058.774898;99.84;770.0
IPCA SPREAD;CPFPA2;2026-06-16;2031-05-15;IPCA + 4,3000%;--;COMPANHIA PIRATININGA DE FORÇA E LUZ (*) (**);8.2696;7.9331;8.0455;0.11;7.93;8.15;1186.121906;88.15;894.0
IPCA SPREAD;CPFPA9;2026-06-16;2035-02-15;IPCA + 7,7082%;--;COMPANHIA PIRATININGA DE FORÇA E LUZ (*);8.0870;7.7278;7.8607;0.12;7.73;7.98;1082.470861;99.18;1455.0
IPCA SPREAD;CPFPB7;2026-06-16;2039-04-15;IPCA + 6,3018%;--;COMPANHIA PIRATININGA DE FORÇA E LUZ (*);7.7681;7.4394;7.5832;0.07;7.50;7.66;1013.587667;90.50;2071.0
DI SPREAD;CPGTA0;2026-06-16;2029-02-15;DI + 0,5900%;--;COPEL GERAÇÃO E TRANSMISSÃO S/A (*);0.6018;0.3888;0.5006;0.03;0.46;0.53;1047.924662;100.16;462.0
IPCA SPREAD;CPIS14;2026-06-16;2037-08-15;IPCA + 7,3239%;45%;EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A (*);8.2868;8.0486;8.1012;0.09;8.00;8.19;1015.120596;95.15;1723.0
DI SPREAD;CPLD19;2026-06-16;2031-05-15;DI + 0,6000%;--;COPEL DISTRIBUICAO S/A (*);0.8695;0.3933;0.6257;0.06;0.55;0.69;1010.994047;99.92;764.0
IPCA SPREAD;CPLDA1;2026-06-16;2038-01-15;IPCA + 7,1841%;15%;COPEL DISTRIBUICAO S/A (*);7.9728;7.7089;7.7917;0.09;7.69;7.88;1018.326438;96.25;1692.0
IPCA SPREAD;CPLDC0;2026-06-16;2037-07-15;IPCA + 6,9543%;15%;COPEL DISTRIBUICAO S/A (*);8.0397;7.7790;7.8683;0.12;7.74;7.99;1015.782588;94.60;1631.0
DI SPREAD;CSAN15;2026-06-16;2028-04-20;DI + 2,4000%;10%;COSAN S.A. (*);2.3910;2.0446;2.1944;0.23;1.96;2.42;1027.565008;100.32;409.0
