grupo;codigo_ativo;data_referencia;data_vencimento;percentual_taxa;percent_reune;emissor;taxa_compra;taxa_venda;taxa_indicativa;desvio_padrao;val_min_intervalo;val_max_intervalo;pu;percent_pu_par;duration
DI SPREAD;AALR13;2026-06-16;2027-10-04;DI + 2,7500%;--;CENTRO DE IMAGEM DIAGNOSTICOS S/A (*) (**);;;;;;;;;
IPCA SPREAD;AEAB11;2026-06-16;2044-06-15;IPCA + 7,0718%;--;AES CAJUINA AB1 HOLDINGS S.A. (*);8.3710;8.1094;8.2817;0.06;8.22;8.34;1110.296027;91.66;1915.0
IPCA SPREAD;AESLA7;2026-06-16;2034-04-15;IPCA + 6,1409%;10%;RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*);8.0809;7.8133;7.8949;0.09;7.80;7.98;1020.945585;91.27;1394.0
IPCA SPREAD;AESLD2;2026-06-16;2036-03-15;IPCA + 6,4580%;--;RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*);8.0740;7.8402;7.8860;0.09;7.79;7.97;950.768790;91.52;1659.0
DI SPREAD;AGAU13;2026-06-16;2027-03-15;DI + 4,5000%;--;AGASUS S.A. (*);5.0509;4.4935;4.7174;0.12;4.58;4.84;521.851425;99.85;175.0
IPCA SPREAD;AGIZ11;2026-06-16;2047-03-15;IPCA + 7,7322%;10%;AGUAS DA IMPERATRIZ S.A.;8.6775;8.3415;8.4980;0.01;8.48;8.51;1000.226513;94.35;2041.0
IPCA SPREAD;ALGAC2;2026-06-16;2032-01-15;IPCA + 5,8806%;15%;ALGAR TELECOM S/A (*);9.5525;9.0961;9.2863;0.04;9.24;9.32;1123.818367;88.31;981.0
IPCA SPREAD;ALGE16;2026-06-16;2037-11-15;IPCA + 6,1451%;5%;ALIANCA GERACAO DE ENERGIA S.A (*);8.0563;7.8387;7.9038;0.12;7.77;8.03;953.827194;91.30;1373.0
IPCA SPREAD;ALIG15;2026-06-16;2036-04-15;IPCA + 6,1305%;--;ALIANCA GERACAO DE ENERGIA S.A (*);7.9292;7.7489;7.8422;0.07;7.77;7.91;955.220513;92.58;1198.0
IPCA SPREAD;APFD19;2026-06-16;2031-09-15;IPCA + 6,3854%;15%;AUTOPISTA FERNAO DIAS S/A (*);8.4559;8.2337;8.3076;0.10;8.20;8.40;1101.116516;95.18;689.0
IPCA SPREAD;APPT11;2026-06-16;2043-12-15;IPCA + 8,8958%;5%;APIUNA PARTICIPACOES S/A (*);9.7071;9.3253;9.4513;0.11;9.33;9.56;1042.532827;96.85;1566.0
IPCA SPREAD;APRB18;2026-06-16;2031-06-15;IPCA + 4,5000%;45%;AUTOPISTA REGIS BITTENCOURT S/A;9.7848;;9.4644;0.25;9.21;9.71;1206.164064;86.19;795.0
DI SPREAD;ARTRA1;2026-06-16;2027-03-11;DI + 1,6500%;--;ARTERIS S/A (*) (**);1.8000;1.3551;1.5873;0.02;1.56;1.61;346.831919;100.04;175.0
DI SPREAD;ASAIA3;2026-06-16;2029-06-05;DI + 1,2000%;--;SENDAS DISTRIBUIDORA S/A (*);2.1267;1.7488;1.9083;0.06;1.84;1.97;986.939463;98.29;621.0
IPCA SPREAD;AURE12;2026-06-16;2034-04-15;IPCA + 6,2980%;--;AUREN ENERGIA S.A. (*);8.4255;8.0955;8.2231;0.09;8.13;8.31;1014.795940;90.53;1385.0
IPCA SPREAD;BCPSA5;2026-06-16;2029-03-15;IPCA + 5,7687%;--;CLARO S/A;8.0064;7.6213;7.8035;0.10;7.69;7.90;1075.881690;95.29;635.0
DI SPREAD;BRKPA2;2026-06-16;2029-02-21;DI + 3,2500%;5%;BRK AMBIENTAL PARTICIPACOES S/A (*);2.8248;2.5117;2.6862;0.07;2.60;2.76;1065.159173;101.17;538.0
IPCA SPREAD;BRST11;2026-06-16;2028-03-15;IPCA + 5,7694%;--;BRISANET SERVICOS DE TELECOMUNICACOES S.A. (*);9.2531;8.7075;8.8665;0.22;8.64;9.09;757.937753;97.27;240.0
DI SPREAD;BRST14;2026-06-16;2031-05-15;DI + 1,4000%;--;BRISANET SERVICOS DE TELECOMUNICACOES S.A. (*);1.9000;1.3236;1.6000;0.00;1.60;1.60;1006.488656;99.41;754.0
IPCA SPREAD;BTEL23;2026-06-16;2032-04-15;IPCA + 8,2700%;--;V.TAL - REDE NEUTRA DE TELECOMUNICACOES S.A. (*);10.8435;9.8084;10.3682;0.21;10.15;10.58;979.336942;92.03;1082.0
DI SPREAD;CAEC22;2026-06-16;2029-06-15;DI + 2,2000%;35%;COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*);1.3254;1.0828;1.2440;0.07;1.17;1.31;1019.090632;101.84;491.0
IPCA SPREAD;CAJS12;2026-06-16;2037-09-15;IPCA + 6,8500%;--;CONCESSIONARIA AGUAS DE JUTURNAIBA S/A (*);9.2083;8.7418;8.9579;0.04;8.90;9.00;951.299582;91.73;1089.0
IPCA SPREAD;CBAN12;2026-06-16;2034-07-15;IPCA + 5,0000%;--;CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A;8.3360;8.0305;8.2020;0.06;8.13;8.26;1428.126798;88.04;1049.0
IPCA SPREAD;CCPV11;2026-06-16;2030-02-15;IPCA + 7,6000%;5%;CONCESSIONARIA DE RODOVIAS PRVIAS S.A. (*);8.3063;8.0172;8.1527;0.09;8.05;8.24;1151.553132;98.23;874.0
IPCA SPREAD;CCROA5;2026-06-16;2033-11-15;IPCA + 4,8791%;--;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A. (*);8.1467;7.8990;8.0030;0.07;7.92;8.07;906.347322;85.76;1296.0
DI SPREAD;CDES12;2026-06-16;2031-02-03;DI + 1,4000%;--;VPORTS AUTORIDADE PORTUARIA S/A (*) (**);1.6000;1.2000;1.4000;0.00;1.40;1.40;1047.614026;100.00;833.0
IPCA SPREAD;CEAL12;2026-06-16;2037-08-15;IPCA + 7,3239%;45%;EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A. (*);8.3353;8.0339;8.1352;0.07;8.05;8.21;1012.940710;94.95;1722.0
IPCA SPREAD;CEAP14;2026-06-16;2033-12-15;IPCA + 6,7500%;--;COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*);8.4364;8.2495;8.2996;0.07;8.22;8.37;1048.616138;92.62;1332.0
DI SPREAD;CEAP15;2026-06-16;2029-05-14;DI + 1,2000%;--;COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*) (**);0.9835;0.6234;0.7963;0.05;0.74;0.84;1021.231737;100.82;518.0
DI SPREAD;CEBD14;2026-06-16;2028-08-25;DI + 1,6000%;35%;CEB DISTRIBUICAO S/A (*) (**);1.3417;1.0471;1.1324;0.05;1.07;1.18;1053.451265;100.68;371.0
DI SPREAD;CEBD25;2026-06-16;2029-06-20;DI + 1,7200%;--;CEB DISTRIBUICAO S/A (*) (**);1.6000;0.4882;1.0384;0.07;0.96;1.10;1089.444354;101.35;503.0
DI SPREAD;CEEBA6;2026-06-16;2028-08-15;DI + 1,9500%;--;CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*) (**);1.6071;1.2348;1.4660;0.08;1.38;1.55;1059.832998;100.87;459.0
DI SPREAD;CEEBB8;2026-06-16;2031-06-10;DI + 1,1000%;--;CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*);0.9421;0.4866;0.7238;0.13;0.58;0.86;1015.028852;101.26;853.0
IPCA SPREAD;CEEBC3;2026-06-16;2031-10-15;IPCA + 5,8224%;35%;CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*);8.4690;8.2417;8.2969;0.14;8.14;8.44;1180.742729;91.57;954.0
IPCA SPREAD;CEED12;2026-06-16;2029-12-15;IPCA + 7,1498%;--;COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*);8.5162;8.2549;8.3465;0.08;8.26;8.43;1145.295483;96.57;790.0
DI SPREAD;CEPEA1;2026-06-16;2026-10-15;DI + 1,3900%;--;COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*);1.0726;0.5082;0.9231;0.12;0.80;1.04;1026.112614;100.15;85.0
IPCA SPREAD;CGASA1;2026-06-16;2034-07-15;IPCA + 6,3763%;10%;COMPANHIA DE GAS DE SÃO PAULO - COMGAS (*);8.3389;8.1231;8.1863;0.10;8.08;8.28;1014.442416;90.03;1551.0
DI SPREAD;CGASA5;2026-06-16;2029-03-15;DI + 0,7500%;15%;COMPANHIA DE GAS DE SÃO PAULO - COMGAS (*);0.7969;0.5607;0.6770;0.05;0.61;0.73;1033.393432;100.16;572.0
DI SPREAD;CGBP14;2026-06-16;2032-03-25;DI + 1,0000%;10%;ESSENTIA PCHS S.A (*);1.0608;0.7500;0.8997;0.00;0.89;0.90;964.916811;100.29;753.0
IPCA SPREAD;CGOSA0;2026-06-16;2037-08-15;IPCA + 7,3239%;--;EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*);8.2768;8.0348;8.1080;0.08;8.01;8.19;1014.684099;95.11;1722.0
DI SPREAD;CGOSA1;2026-06-16;2032-10-15;DI + 0,6500%;35%;EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*);0.9290;0.6695;0.7793;0.01;0.76;0.79;1018.450369;99.52;931.0
IPCA SPREAD;CGOSB0;2026-06-16;2037-08-15;IPCA + 7,3239%;15%;EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*);8.2954;8.0315;8.1652;0.06;8.09;8.23;1011.022710;94.77;1721.0
DI SPREAD;CLCD17;2026-06-16;2031-07-15;DI + 0,9500%;--;CELESC DISTRIBUIÇÃO S/A (*);1.0399;0.7594;0.9231;0.08;0.83;1.01;1061.941191;100.08;786.0
IPCA SPREAD;CLIS13;2026-06-16;2035-08-15;IPCA + 8,5536%;10%;CLI SUL S/A (*);8.3575;8.1955;8.2048;0.11;8.08;8.32;1115.017441;101.61;1260.0
DI SPREAD;CLMOA4;2026-06-16;2032-11-27;DI + 0,9500%;--;CALAMO DISTRIBUIDORA DE PRODUTOS DE BELEZA S/A (*);0.8666;0.5500;0.7488;0.10;0.64;0.85;1015.243033;100.77;973.0
DI SPREAD;CMGDB3;2026-06-16;2032-04-15;DI + 0,8000%;--;CEMIG DISTRIBUIÇÃO S/A (*);0.8699;0.5401;0.7085;0.07;0.62;0.78;1027.047447;100.34;948.0
DI SPREAD;CMGTA0;2026-06-16;2030-03-15;DI + 0,6400%;--;CEMIG GERAÇÃO E TRANSMISSÃO S/A (*);0.6644;0.4631;0.5742;0.03;0.53;0.60;1037.331635;100.16;650.0
DI SPREAD;CMPH14;2026-06-16;2028-11-05;DI + 1,7000%;--;CM HOSPITALAR S.A.;;;;;;;412.575546;54.06;
DI SPREAD;CMTR19;2026-06-16;2027-12-15;DI + 1,3300%;--;CEMIG GERAÇÃO E TRANSMISSÃO S/A (*);0.8263;0.5388;0.6717;0.11;0.55;0.78;671.179421;100.61;238.0
IPCA SPREAD;CMTR29;2026-06-16;2029-12-15;IPCA + 7,6245%;--;CEMIG GERAÇÃO E TRANSMISSÃO S/A (*);8.3013;7.9413;8.0696;0.08;7.98;8.15;1171.761091;98.71;786.0
DI SPREAD;COGNA4;2026-06-16;2029-11-19;DI + 1,6000%;5%;COGNA EDUCACAO S.A (*);1.4000;1.0152;1.2260;0.05;1.17;1.27;1020.432276;100.89;607.0
DI SPREAD;COGNA5;2026-06-16;2028-11-17;DI + 0,6400%;5%;COGNA EDUCACAO S.A (*);1.2048;0.9390;1.0534;0.07;0.98;1.12;1049.876895;99.18;503.0
IPCA SPREAD;CPFGA2;2026-06-16;2031-05-15;IPCA + 6,0265%;--;CPFL TRANSMISSAO S.A (*);8.2503;7.9125;8.0642;0.06;8.00;8.12;1123.562492;93.59;873.0
DI SPREAD;CPGT39;2026-06-16;2034-10-10;DI + 0,9500%;5%;COPEL GERAÇÃO E TRANSMISSÃO S/A (*);1.0049;0.6547;0.8331;0.07;0.75;0.91;1031.007694;100.52;1150.0
DI SPREAD;CPLD27;2026-06-16;2027-05-15;DI + 1,3600%;--;COPEL DISTRIBUICAO S/A (*);1.0789;0.6492;0.8829;0.11;0.76;1.00;508.298295;100.41;220.0
DI SPREAD;CPLDA0;2026-06-16;2030-07-15;DI + 0,4300%;--;COPEL DISTRIBUICAO S/A (*);0.8243;0.4565;0.6078;0.01;0.59;0.62;1054.275214;99.56;615.0
IPCA SPREAD;CRMG15;2026-06-16;2030-12-15;IPCA + 5,9668%;--;CONCESSIONÁRIA DA RODOVIA MG-050 S/A (*);8.7188;8.3494;8.4653;0.16;8.29;8.63;793.250658;93.72;694.0
IPCA SPREAD;CRTR12;2026-06-16;2041-08-15;IPCA + 7,3201%;--;CONCESSIONARIA RODOVIAS DO TRIANGULO SPE S.A. (*);9.1783;8.8436;9.0069;0.04;8.96;9.04;1010.059618;90.05;1657.0
DI SPREAD;CSAN18;2026-06-16;2031-01-21;DI + 1,8000%;5%;COSAN S.A. (*);2.1214;1.4712;1.7597;0.27;1.48;2.03;1063.264688;100.11;745.0
DI SPREAD;CSANB0;2026-06-16;2034-06-28;DI + 1,5000%;--;COSAN S.A. (*);2.2899;1.5879;1.8155;0.16;1.65;1.97;1057.389544;98.70;1051.0
DI SPREAD;CSANC2;2026-06-16;2032-03-27;DI + 1,0000%;--;COSAN S.A. (*);2.1080;1.4757;1.7912;0.09;1.69;1.88;1163.019998;97.29;880.0
IPCA SPREAD;CSMGA6;2026-06-16;2031-09-15;IPCA + 5,2306%;--;CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*);8.1512;7.8195;8.0336;0.15;7.88;8.18;945.114704;93.81;602.0
DI SPREAD;DASAB4;2026-06-16;2027-10-20;DI + 2,4000%;--;DIAGNÓSTICOS DA AMÉRICA S/A (*) (**);2.9129;1.2486;1.9471;0.69;1.25;2.63;1027.808646;100.35;199.0
IPCA SPREAD;DESK17;2026-06-16;2031-06-15;IPCA + 7,4408%;--;DESKTOP S/A (*);8.5539;8.3952;8.4443;0.07;8.37;8.51;1065.990953;96.80;877.0
DI SPREAD;DXCO13;2026-06-16;2031-10-15;DI + 0,5300%;--;DEXCO S.A (*);0.8993;0.6437;0.7555;0.01;0.74;0.76;1015.029674;99.21;889.0
IPCA SPREAD;EBENA8;2026-06-16;2036-12-15;IPCA + 7,2843%;--;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A. (*);8.1661;7.9655;7.9859;0.10;7.88;8.09;1032.080390;95.55;1749.0
IPCA SPREAD;ECHP11;2026-06-16;2030-06-15;IPCA + 6,9000%;--;ECHOENERGIA PARTICIPACOES S/A (*);8.7906;;8.6295;0.22;8.40;8.85;941.892481;96.45;563.0
IPCA SPREAD;EDPA11;2026-06-16;2044-10-15;IPCA + 8,3431%;--;EDP TRANSMISSAO ALIANCA SC S.A.;8.1600;7.9953;8.0573;0.12;7.93;8.17;1353.580460;101.75;1663.0
DI SPREAD;EDVP18;2026-06-16;2027-08-22;DI + 1,6000%;--;ENERGISA SUL-SUDESTE - DISTRIBUICAO DE ENERGIA S.A;0.4583;0.2010;0.3230;0.06;0.26;0.38;1056.093655;100.80;161.0
IPCA SPREAD;EGIEB1;2026-06-16;2038-11-15;IPCA + 6,0691%;--;ENGIE BRASIL ENERGIA S.A. (*);7.7224;7.3933;7.5966;0.13;7.46;7.72;1044.937791;89.02;2019.0
DI SPREAD;EKTRA0;2026-06-16;2026-10-15;DI + 1,2900%;--;ELEKTRO REDES S.A. (*) (**);1.0376;0.4637;0.7424;0.05;0.69;0.79;1026.226601;100.18;85.0
IPCA SPREAD;EKTT11;2026-06-16;2038-05-15;IPCA + 6,4217%;10%;EKTT 9 SERV DE TRANS DE E E SPE S.A. (*);8.3128;8.0714;8.1709;0.09;8.07;8.27;1149.676744;91.52;1344.0
IPCA SPREAD;ENAT33;2026-06-16;2034-06-15;IPCA + 8,2620%;--;ENAUTA PARTICIPACOES S.A. (*);9.3609;8.9007;9.1708;0.11;9.05;9.28;1054.415586;95.57;1359.0
IPCA SPREAD;ENERA1;2026-06-16;2031-02-15;IPCA + 6,1076%;--;ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.;8.4109;8.1336;8.2836;0.09;8.18;8.38;1064.088533;92.87;913.0
IPCA SPREAD;ENEV39;2026-06-16;2042-09-15;IPCA + 7,1500%;--;ENEVA S.A. (*);7.9054;7.6307;7.7877;0.12;7.65;7.91;1150.175611;94.44;2403.0
IPCA SPREAD;ENGIA9;2026-06-16;2030-09-15;IPCA + 6,1666%;--;ENERGISA S/A;8.3912;8.1856;8.2950;0.06;8.22;8.36;1082.951907;93.60;836.0
DI SPREAD;ENGIC3;2026-06-16;2030-02-25;DI + 0,8000%;--;ENERGISA S/A;0.7823;0.5560;0.6786;0.07;0.60;0.75;1047.442256;100.34;715.0
DI SPREAD;ENGID3;2026-06-16;2032-02-25;DI + 0,9500%;--;ENERGISA S/A;0.8639;0.5827;0.7327;0.07;0.65;0.80;1053.033307;100.83;972.0
IPCA SPREAD;ENJG21;2026-06-16;2027-06-15;IPCA + 6,4962%;--;COMPANHIA ENERGÉTICA JAGUARA;;;;;;;;;
IPCA SPREAD;ENMTA3;2026-06-16;2027-10-15;IPCA + 4,2297%;--;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;8.4798;8.2898;8.3737;0.15;8.21;8.53;1351.947516;95.06;327.0
DI SPREAD;ENMTA8;2026-06-16;2029-04-15;DI + 0,7500%;--;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;0.7000;0.4551;0.5833;0.01;0.56;0.60;1027.449521;100.38;591.0
PREFIXADO;ENMTC4;2026-06-16;2032-05-15;PREFIXADO + 13,7000%;--;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A. (*);14.3601;13.9152;14.1940;0.15;14.03;14.35;992.477429;98.19;1058.0
IPCA SPREAD;ENSEA1;2026-06-16;2027-07-15;IPCA + 5,7360%;--;ENERGISA SERGIPE - DIST.DE ENERGIA S/A;8.4727;8.2922;8.3628;0.15;8.20;8.52;1238.997228;97.49;260.0
IPCA SPREAD;EQSP21;2026-06-16;2034-01-15;IPCA + 4,6500%;--;EQUATORIAL TRANSMISSORA 3 SPE S.A.;8.5629;8.4389;8.4981;0.05;8.44;8.54;921.069170;88.60;819.0
DI SPREAD;ERDVA2;2026-06-16;2026-06-20;DI + 2,6500%;--;ECORODOVIAS CONCESSÕES E SERVIÇOS S/A (*);2.2335;0.7953;1.7189;0.55;1.16;2.27;1079.664195;100.01;4.0
IPCA SPREAD;ERDVA4;2026-06-16;2031-06-15;IPCA + 6,8233%;35%;ECORODOVIAS CONCESSÕES E SERVIÇOS S/A (*);9.0157;8.7618;8.8363;0.09;8.74;8.93;1017.724134;92.32;1074.0
IPCA SPREAD;ESSDA5;2026-06-16;2035-10-15;IPCA + 7,2318%;--;ENERGISA SUL-SUDESTE - DISTRIBUICAO DE ENERGIA S.A (*);8.1838;7.9468;8.0483;0.05;7.99;8.10;996.538091;94.94;1712.0
IPCA SPREAD;ETEN22;2026-06-16;2030-10-15;IPCA + 4,4744%;15%;ENERGISA TRANSMISSAO DE ENERGIA S.A;8.3894;8.1399;8.2569;0.07;8.17;8.33;1275.680621;89.66;768.0
DI SPREAD;EUFA19;2026-06-16;2031-12-16;DI + 0,9500%;--;EUROFARMA LABORATÓRIOS S/A (*) (**);1.6149;1.2285;1.3602;0.22;1.13;1.58;986.353561;98.63;852.0
IPCA SPREAD;FBRI13;2026-06-16;2034-04-15;IPCA + 7,3609%;5%;FIBRASIL INFRAESTRUTURA FIBRA OTICA S.A. (*);7.8167;7.4898;7.6547;0.04;7.60;7.70;1107.286295;98.71;1190.0
DI SPREAD;FISI15;2026-06-16;2030-07-15;DI + 0,8500%;5%;FISIA COMERCIO DE PRODUTOS ESPORTIVOS S.A. (*);1.6394;1.2683;1.3953;0.12;1.26;1.52;1047.050723;98.71;601.0
DI SPREAD;FLCLA8;2026-06-16;2029-12-15;DI + 0,8000%;--;ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.;1.0753;0.7558;0.9105;0.06;0.84;0.97;997.459660;99.68;714.0
DI SPREAD;FLRY17;2026-06-16;2027-04-22;DI + 1,3500%;--;FLEURY S/A (*);0.7909;0.2462;0.5323;0.11;0.41;0.64;1028.714080;100.65;203.0
DI SPREAD;FLRY29;2026-06-16;2031-05-17;DI + 0,6700%;--;FLEURY S/A (*);1.0000;0.4119;0.6790;0.05;0.62;0.73;1010.968238;99.97;841.0
IPCA SPREAD;GASC16;2026-06-16;2034-06-15;IPCA + 6,4186%;--;RUMO MALHA PAULISTA S/A (*);9.2190;8.8210;8.8421;0.33;8.50;9.17;956.691948;86.76;1570.0
IPCA SPREAD;GASP19;2026-06-16;2031-08-15;IPCA + 5,1216%;--;COMPANHIA DE GAS DE SÃO PAULO - COMGAS;8.4409;8.1245;8.3365;0.06;8.27;8.39;1185.145431;89.48;923.0
DI SPREAD;GGBRA8;2026-06-16;2028-12-10;DI + 0,5000%;45%;GERDAU S/A (*);0.5000;0.3500;0.4144;0.00;0.40;0.42;1004.063604;100.18;544.0
IPCA SPREAD;HBSA21;2026-06-16;2031-10-15;IPCA + 6,0444%;--;HIDROVIAS DO BRASIL S.A. (*);8.7299;8.4891;8.5751;0.17;8.39;8.75;1171.146854;91.44;950.0
DI SPREAD;HYPEA6;2026-06-16;2028-10-10;DI + 1,3500%;--;HYPERA S/A (*);0.9013;0.5113;0.6958;0.07;0.62;0.76;1036.975747;101.04;403.0
DI SPREAD;HYPEC0;2026-06-16;2030-08-15;DI + 0,7500%;--;HYPERA S/A (*);0.9189;0.6485;0.7592;0.07;0.68;0.83;1046.477786;99.97;707.0
DI SPREAD;IOCHA3;2026-06-16;2030-04-02;DI + 1,6000%;15%;IOCHPE-MAXION S/A (*) (**);1.7126;1.3043;1.4727;0.05;1.41;1.53;1032.758682;100.28;569.0
IPCA SPREAD;IRJS14;2026-06-16;2043-05-15;IPCA + 8,2000%;35%;IGUA RIO DE JANEIRO S.A. (*);10.9516;10.5081;10.6494;0.09;10.55;10.74;1127.923113;85.10;1754.0
DI SPREAD;ISAEB1;2026-06-16;2030-01-15;DI + 0,5500%;--;ISA ENERGIA BRASIL S.A. (*);0.7532;0.4557;0.6133;0.05;0.55;0.67;1046.063271;99.82;696.0
IPCA SPREAD;ISAEB2;2026-06-16;2041-03-15;IPCA + 6,4618%;--;ISA ENERGIA BRASIL S.A. (*);7.5391;7.3331;7.4202;0.10;7.32;7.52;944.559101;91.83;2363.0
DI SPREAD;JSMLA5;2026-06-16;2031-01-15;DI + 3,5000%;50%;SIMPAR S.A. (*);4.2834;3.2519;3.9497;0.41;3.53;4.36;1059.953251;98.89;646.0
IPCA SPREAD;JTEE12;2026-06-16;2044-12-15;IPCA + 4,8295%;--;JANAUBA TRANSMISSORA DE ENERGIA ELETRICA  S/A (*);7.8236;7.7381;7.8134;0.26;7.55;8.07;1261.419286;81.01;1796.0
DI PERCENTUAL;KLBNA2;2026-06-16;2029-03-19;114,6500% do DI;--;KLABIN S/A;104.0350;102.0000;103.2953;0.28;103.00;103.58;10611.749326;102.32;380.0
DI SPREAD;LCAMC2;2026-06-16;2031-05-20;DI + 2,4000%;--;COMPANHIA DE LOCAÇÃO DAS AMÉRICAS (*);1.7417;1.4511;1.6001;0.02;1.57;1.62;1035.197174;102.35;750.0
IPCA SPREAD;LCAMD1;2026-06-16;2031-09-15;IPCA + 6,5119%;50%;COMPANHIA DE LOCAÇÃO DAS AMÉRICAS;10.2602;9.8679;10.0529;0.06;9.98;10.12;1167.673298;88.70;916.0
DI SPREAD;LMTPA1;2026-06-16;2028-01-17;DI + 1,5000%;--;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIOS S.A. (*);2.1624;0.8763;1.5969;0.11;1.48;1.71;1060.699419;99.86;347.0
DI SPREAD;LMTPB2;2026-06-16;2030-09-23;DI + 1,5000%;--;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIOS S.A. (*);3.2629;1.7773;1.9913;0.10;1.88;2.10;1018.983197;98.48;792.0
DI SPREAD;LORTB2;2026-06-16;2028-12-05;DI + 1,8700%;--;LOCALIZA RENT A CAR (*);1.5232;1.2775;1.4080;0.02;1.38;1.43;1013.981061;100.96;534.0
DI SPREAD;MNLT11;2026-06-16;2026-10-15;DI + 1,7500%;--;MNLT S.A.;1.2573;0.6845;0.9077;0.06;0.83;0.97;1027.985593;100.28;85.0
DI SPREAD;MOTVA8;2026-06-16;2030-05-15;DI + 0,5700%;--;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A. (*);0.6514;0.5091;0.5761;0.01;0.56;0.58;1011.565257;99.98;771.0
IPCA SPREAD;MRSAB1;2026-06-16;2035-09-15;IPCA + 6,3439%;--;MRS LOGÍSTICA S/A (*);7.9179;7.6175;7.7666;0.13;7.63;7.90;1063.532327;91.86;1597.0
IPCA SPREAD;NRTB21;2026-06-16;2026-09-15;IPCA + 7,1500%;--;NORTE BRASIL TRANSMISSORA DE ENERGIA S/A;11.1380;10.3099;10.6729;0.58;10.08;11.26;184.258243;99.18;64.0
DI SPREAD;NTSDA2;2026-06-16;2031-03-10;DI + 0,6000%;5%;NOVA TRANSPORTE DO SUDESTE S.A. - NTS (*);0.9141;0.5652;0.7577;0.06;0.68;0.82;1032.147340;99.50;795.0
IPCA SPREAD;ODYA11;2026-06-16;2031-09-15;IPCA + 6,7968%;--;ODOYA TRANSMISSORA DE ENERGIA S.A.. (*);8.9091;8.7063;8.7779;0.09;8.68;8.87;798.950120;95.78;584.0
DI SPREAD;OMGE26;2026-06-16;2031-03-15;DI + 1,2500%;--;OMEGA GERAÇÃO S/A (*) (**);1.3619;1.0312;1.1930;0.07;1.12;1.26;1039.114217;100.19;858.0
IPCA SPREAD;OMGE41;2026-06-16;2027-05-15;IPCA + 5,0000%;--;OMEGA GERAÇÃO S/A;9.2726;8.7188;8.9674;0.41;8.55;9.38;1424.729179;96.72;225.0
IPCA SPREAD;ONZE21;2026-06-16;2048-06-15;IPCA + 8,7400%;--;BLOCO DE ONZE AEROPORTOS DO BRASIL S.A (*);8.4937;8.0116;8.1549;0.27;7.87;8.43;1084.654177;104.56;2108.0
IPCA SPREAD;PALF38;2026-06-16;2027-09-15;IPCA + 5,0500%;--;COMPANHIA PAULISTA DE FORÇA E LUZ;8.3773;8.0170;8.1498;0.20;7.94;8.35;1037.363986;97.90;182.0
DI SPREAD;PALFA4;2026-06-16;2027-09-05;DI + 0,5500%;--;COMPANHIA PAULISTA DE FORÇA E LUZ (*);0.4581;0.1884;0.3675;0.07;0.28;0.44;358.983448;100.12;173.0
IPCA SPREAD;PALFB3;2026-06-16;2035-10-15;IPCA + 6,1753%;--;COMPANHIA PAULISTA DE FORÇA E LUZ (*);8.0162;7.8019;7.9260;0.15;7.77;8.07;1033.456274;89.91;1622.0
PREFIXADO;PEJA12;2026-06-16;2029-02-15;PREFIXADO + 11,1155%;--;PRIO FORTE S.A;;;14.4545;0.34;14.10;14.80;966.317353;93.45;574.0
IPCA SPREAD;PETR18;2026-06-16;2035-06-15;IPCA + 6,3874%;--;PETRÓLEO BRASILEIRO S/A - PETROBRAS (*);7.5052;7.2479;7.3154;0.10;7.21;7.42;985.579280;94.15;1739.0
DI SPREAD;PFOR25;2026-06-16;2032-02-20;DI + 1,3500%;5%;PRIO FORTE S.A (*);1.7789;1.4696;1.6096;0.08;1.52;1.69;1037.948651;99.09;896.0
