Prefixo;name,cnpj,isin,assetCode,fundBegin,currency,isEsg,manager,administrator,custody,investmentType,categoryCvm,anbimaRating,benchmark,applyOpen,minimumInitialInvestment,minimumMoviment,minimumBalanceRemain,timeLimit,hourInvestimentRescue,investimentQuota,rescueQuota,rescueFinancialSettlement,investmentFinancialSettlement,administrationFee,administrationFeeMax,performanceFee,profitabilityDay,profitabilityMonth,profitabilityYear,subcategoryInitials,subclassCode,isExternalPensionFund,isPensionFund
consultoria;OPPORTUNITY GL EQ DOLAR FICFIA BDR NI IE,46352768000125,,7608061,2022-11-01T00:00:00.000-0300,BRL,false,OPPORTUNITY ASSET ADM DE RECURSOS DE TERCEIROS LTD,BNY MELLON SERVICOS FINANCEIROS DISTRIBUIDORA DE T,BNY MELLON BANCO S.A,Investidores qualificados,Ações,Ações Investimento no Exterior,-,true,5000,1000,5000,14:10,14:10,D+1,D+2,D+5,D+0,1.5,,20,-0.7137916,1.0309877,-3.4118668,LONG_ONLY,,false,false
consultoria;COMPASS YIELD 30 FIRF CrPr,36318479000156,,7504150,2020-05-20T00:00:00.000-0300,BRL,false,VINCI CG GESTORA DE RECURSOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre crédito livre,CDI,true,500,500,500,14:10,14:10,D+0,D+29,D+30,D+0,0.6,,10,0.0775925,1.1541752,5.5230122,CREDITO_POS,,false,false
consultoria;LEBLON ACOES FICFIA,10320151000180,BRYPA1CTF005,1662203,2008-09-30T00:00:00.000-0300,BRL,false,LEBLON EQUITIES GESTAO DE RECURSOS LTDA.,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores qualificados,Ações,Ações Livre,IBOVESPA,true,1000,1000,100,14:10,14:10,D+1,D+27,D+30,D+0,2,,15,-1.0532399,-1.6846596,4.3113476,LONG_ONLY,,false,false
consultoria;RIZA DAIKON FICFIM CrPr,36015100000139,,2573205,2020-02-14T00:00:00.000-0300,BRL,false,RIZA LIQUIDOS GESTORA DE RECURSOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Multimercados,Multimercados Macro,-,true,500,100,100,15:20,15:20,D+0,D+60,D+61,D+0,0.8,,20,0.0392033,0.4839235,3.2111145,CREDITO_POS,,false,false
consultoria;WESTERN ASSET GL EQUITIES FIA,29982932000169,BR01SPCTF008,2135917,2019-08-08T00:00:00.000-0300,BRL,false,FRANKLIN TEMPLETON BRASIL LTDA,INTRAG DISTR DE TITULOS EVALORES MOBILIARIOS LTDA,ITAU UNIBANCO S.A.,Investidores qualificados,Ações,Ações Investimento no Exterior,CDI,true,1000,100,500,13:10,13:10,D+1,D+1,D+5,D+0,0.7000000000000001,,,-0.0595103,2.7622425,-3.3532029,LONG_ONLY,,false,false
consultoria;Jubarte MIgration II FICFIM,53643941000100,,9493564,2024-01-31T00:00:00.000-0300,BRL,false,JUBARTE STRATEGIC CAPITAL LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Multimercados,Multimercados Macro,CDI,true,1000,100,100,15:20,15:20,D+1,D+30,D+31,D+0,2,,20,-0.3234418,0.2379263,4.9255784,,,false,false
consultoria;MAR ABSOLUTO FIM CrPr,32397723000162,,2066556,2019-02-01T00:00:00.000-0300,BRL,false,MAR ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Multimercados,Multimercado livre,CDI,false,5000,1000,1000,15:10,15:10,D+0,D+30,D+31,D+0,2,,20,-0.5818434,-2.4886764,-19.324149,,,false,false
consultoria;BV IRF-M1+ FICFIRF LP,13060032000124,BRVOT3CTF004,1927844,2011-03-21T00:00:00.000-0300,BRL,false,TIVIO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES,BEM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,BANCO BRADESCO S.A.,Investidores em geral (Não qualificados),Renda Fixa,RF Indexados,CDI,true,100,100,100,14:10,14:10,D+0,D+0,D+1,D+0,0.35000000000000003,,0,-0.2020048,-0.9519772,2.0261628,PRE_FIXADO,,false,false
consultoria;GENOA CAPITAL SAGRES I FICFIM,48997077000104,,9234936,2023-09-28T00:00:00.000-0300,BRL,false,GENOA CAPITAL GESTORA DE RECURSOS LTDA,INTRAG DISTR DE TITULOS EVALORES MOBILIARIOS LTDA,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORE,Investidores qualificados,Multimercados,Multimercado livre,CDI,false,500,500,500,14:10,14:10,D+1,D+30,D+31,D+0,1.9000000000000001,,20,0.2039787,-1.4365315,1.1047003,,,false,false
consultoria;BTG DIGITAL DOLAR FI CAMBIAL,33144687000198,,4187858,2019-05-07T00:00:00.000-0300,BRL,false,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Cambial,Cambial,-,true,500,500,500,15:10,15:10,D+0,D+0,D+1,D+0,0.1,,,0.8551069,1.9935214,-6.2235623,,,false,false
consultoria;BTG MULTIGESTOR OFFSHORE FICFIM CrPr IE,39281097000193,,5091506,2020-10-30T00:00:00.000-0300,BRL,false,BTG PACTUAL GESTAO E CONSULTORIA DE INVESTIMENTOS,BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM,BANCO BTG PACTUAL S A,Investidores profissionais,Multimercados,Multimercados Investimento no Exterior,CDI,true,50000,50000,50000,15:20,15:20,D+0,D+90,D+91,D+1,0.5,,,-0.0062817,-0.0699241,4.2386927,,,false,false
consultoria;Porto Baoba Incentivados FICFIIIRF CrPr,50037999000111,BR0F3DCTF002,9245694,2023-12-19T00:00:00.000-0300,BRL,false,PORTO SEGURO INVESTIMENTOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre crédito livre,-,true,0,0,0,15:20,15:20,D+0,D+30,D+31,D+0,0.6,,20,-0.0660555,0.1468383,2.8280137,INFLACAO,,false,false
consultoria;Itau Global Dinamico Ultra Dist FIM RL,52026419000116,,15462406,2023-09-15T00:00:00.000-0300,BRL,false,ITAU UNIBANCO ASSET MANAGEMENT LTDA,INTRAG DISTR DE TITULOS EVALORES MOBILIARIOS LTDA,,Investidores qualificados,Multimercados,Multimercados Dinâmico,CDI,true,100,0,100,14:10,14:10,D+0,D+21,D+22,D+0,1.1,,0,-0.1417464,0.115266,3.7713149,,,false,false
