2026-03-02 17:29:35.845312;ERRO AO OBTER URL: 'response'
2026-03-02 17:29:41.811785;ERRO AO OBTER URL: 'response'
2026-03-02 17:29:48.036738;ERRO AO OBTER URL: 'response'
2026-03-02 17:29:53.596851;ERRO AO OBTER URL: 'response'
2026-03-02 17:30:00.660508;ERRO AO OBTER URL: 'response'
2026-03-02 17:30:05.991243;ERRO AO OBTER URL: 'response'
2026-03-02 17:30:13.889214;ERRO AO OBTER URL: 'response'
2026-03-02 17:30:19.465474;ERRO AO OBTER URL: 'response'
2026-03-02 17:30:24.987952;ERRO AO OBTER URL: 'response'
2026-03-02 17:31:30.958357;ERRO AO OBTER URL: 'response'
2026-03-02 17:31:36.420756;ERRO AO OBTER URL: 'response'
2026-03-02 17:31:42.142655;ERRO AO OBTER URL: 'response'
2026-03-02 17:31:47.892427;ERRO AO OBTER URL: 'response'
2026-03-02 17:31:53.357942;ERRO AO OBTER URL: 'response'
2026-03-02 17:31:58.687621;ERRO AO OBTER URL: 'response'
2026-03-02 17:32:04.257108;ERRO AO OBTER URL: 'response'
2026-03-02 17:32:09.662294;ERRO AO OBTER URL: 'response'
2026-03-02 17:32:14.964540;ERRO AO OBTER URL: 'response'
2026-03-02 17:32:20.391827;ERRO AO OBTER URL: 'response'
2026-03-02 18:01:40.582828;ERRO AO OBTER URL: HTTPSConnectionPool(host='api-btg-2.onrender.com', port=443): Read timed out. (read timeout=30)
2026-03-02 18:01:49.929081;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-02 18:01:55.612650;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-02 18:02:00.974425;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-02 18:02:06.312113;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-02 18:02:11.702342;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-02 18:02:17.009092;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-02 18:02:22.347534;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-02 18:02:27.774177;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-02 18:02:33.509361;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-02 18:02:38.511662;CRITICAL ERROR IN BASE REPORT (consultoria): Failed to retrieve Base Report URL
2026-03-03 12:50:35.654316;ERRO AO OBTER URL: 'response'
2026-03-03 12:50:40.970956;ERRO AO OBTER URL: 'response'
2026-03-03 12:50:46.293707;ERRO AO OBTER URL: 'response'
2026-03-03 12:50:51.609592;ERRO AO OBTER URL: 'response'
2026-03-03 12:50:57.083694;ERRO AO OBTER URL: 'response'
2026-03-03 12:51:02.663921;ERRO AO OBTER URL: 'response'
2026-03-03 12:51:08.049418;ERRO AO OBTER URL: 'response'
2026-03-03 12:51:13.383998;ERRO AO OBTER URL: 'response'
2026-03-03 12:51:19.083212;ERRO AO OBTER URL: 'response'
2026-03-03 12:51:24.393696;ERRO AO OBTER URL: 'response'
2026-03-03 14:39:54.641270;ERRO AO OBTER URL: 'response'
2026-03-03 14:40:00.022658;ERRO AO OBTER URL: 'response'
2026-03-03 14:40:05.406616;ERRO AO OBTER URL: 'response'
2026-03-03 14:40:10.829890;ERRO AO OBTER URL: 'response'
2026-03-03 14:40:16.141093;ERRO AO OBTER URL: 'response'
2026-03-03 14:40:21.474770;ERRO AO OBTER URL: 'response'
2026-03-03 14:40:27.342678;ERRO AO OBTER URL: 'response'
2026-03-03 14:40:32.646086;ERRO AO OBTER URL: 'response'
2026-03-03 14:40:38.065799;ERRO AO OBTER URL: 'response'
2026-03-03 14:40:43.518849;ERRO AO OBTER URL: 'response'
2026-03-03 14:41:49.611177;ERRO AO OBTER URL: 'response'
2026-03-03 14:41:54.931458;ERRO AO OBTER URL: 'response'
2026-03-03 14:42:00.212489;ERRO AO OBTER URL: 'response'
2026-03-03 14:42:05.504818;ERRO AO OBTER URL: 'response'
2026-03-03 14:42:10.808711;ERRO AO OBTER URL: 'response'
2026-03-03 14:42:16.122706;ERRO AO OBTER URL: 'response'
2026-03-03 14:42:21.511683;ERRO AO OBTER URL: 'response'
2026-03-03 14:42:26.820250;ERRO AO OBTER URL: 'response'
2026-03-03 14:42:32.125310;ERRO AO OBTER URL: 'response'
2026-03-03 14:42:37.416394;ERRO AO OBTER URL: 'response'
2026-03-03 14:43:43.096596;ERRO AO OBTER URL: 'response'
2026-03-03 14:43:49.240908;ERRO AO OBTER URL: 'response'
2026-03-03 14:43:54.860954;ERRO AO OBTER URL: 'response'
2026-03-03 14:44:00.570938;ERRO AO OBTER URL: 'response'
2026-03-03 14:44:06.217558;ERRO AO OBTER URL: 'response'
2026-03-03 14:44:11.526475;ERRO AO OBTER URL: 'response'
2026-03-03 14:44:16.844463;ERRO AO OBTER URL: 'response'
2026-03-03 14:44:22.151450;ERRO AO OBTER URL: 'response'
2026-03-03 14:44:27.849336;ERRO AO OBTER URL: 'response'
2026-03-03 14:44:33.147739;ERRO AO OBTER URL: 'response'
2026-03-04 15:05:12.278661;ERRO AO OBTER URL: HTTPSConnectionPool(host='api-btg-2.onrender.com', port=443): Read timed out. (read timeout=30)
2026-03-04 15:05:24.608636;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-04 15:05:30.423874;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-04 15:05:35.807673;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-04 15:05:41.103678;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-04 15:05:46.477339;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-04 15:05:51.957442;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-04 15:05:57.324498;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-04 15:06:02.691218;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-04 15:06:08.076633;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-04 15:06:13.079151;CRITICAL ERROR IN BASE REPORT (consultoria): Failed to retrieve Base Report URL
2026-03-04 17:09:46.074597;ERRO AO OBTER URL: HTTPSConnectionPool(host='api-btg-2.onrender.com', port=443): Read timed out. (read timeout=30)
2026-03-04 17:09:57.433693;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-04 17:10:02.823653;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-04 17:10:08.226863;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-04 17:10:13.916478;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-04 17:10:19.304886;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-04 17:10:24.675816;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-04 17:10:30.065808;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-04 17:10:35.449748;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-04 17:10:40.840172;ERRO AO OBTER URL: 500 Server Error: Internal Server Error for url: https://api-btg-2.onrender.com/webhook
2026-03-04 17:10:45.845796;CRITICAL ERROR IN BASE REPORT (consultoria): Failed to retrieve Base Report URL
2026-03-04 17:16:06.378379;ERRO AO OBTER URL: 'response'
2026-03-04 17:16:11.672386;ERRO AO OBTER URL: 'response'
2026-03-04 17:16:17.104322;ERRO AO OBTER URL: 'response'
2026-03-04 17:16:22.871840;ERRO AO OBTER URL: 'response'
2026-03-04 17:16:28.178100;ERRO AO OBTER URL: 'response'
2026-03-04 17:16:33.590140;ERRO AO OBTER URL: 'response'
2026-03-04 17:16:38.913573;ERRO AO OBTER URL: 'response'
2026-03-04 17:16:44.216929;ERRO AO OBTER URL: 'response'
2026-03-04 17:17:04.560274;ERRO AO OBTER URL: 'response'
2026-03-04 17:17:09.888762;ERRO AO OBTER URL: 'response'
2026-03-09 11:20:18.260273;ERRO AO OBTER URL: 'response'
2026-03-09 11:20:23.550310;ERRO AO OBTER URL: 'response'
2026-03-09 11:20:28.883865;ERRO AO OBTER URL: 'response'
2026-03-09 11:20:34.200387;ERRO AO OBTER URL: 'response'
2026-03-09 11:20:39.523415;ERRO AO OBTER URL: 'response'
2026-03-09 11:20:44.861243;ERRO AO OBTER URL: 'response'
2026-03-09 11:20:50.149507;ERRO AO OBTER URL: 'response'
2026-03-09 11:20:55.443920;ERRO AO OBTER URL: 'response'
2026-03-09 11:21:00.750478;ERRO AO OBTER URL: 'response'
2026-03-09 11:21:06.037843;ERRO AO OBTER URL: 'response'
2026-03-09 11:21:11.044385;CRITICAL ERROR IN BASE REPORT (gen): Failed to retrieve Base Report URL
2026-03-09 12:08:10.861591;Error triggering Banking Report: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-09 15:35:27.420096;Error triggering Performance Account Report: BTG API error: 405 - {"type":"about:blank","title":"Method Not Allowed","status":405,"detail":"Method 'GET' is not supported.","instance":"/api/v1/performance-report/account"}
2026-03-09 15:36:28.106525;ERRO AO OBTER URL: 'response'
2026-03-09 15:36:33.402553;ERRO AO OBTER URL: 'response'
2026-03-09 15:36:38.712584;ERRO AO OBTER URL: 'response'
2026-03-09 15:36:44.016177;ERRO AO OBTER URL: 'response'
2026-03-09 15:36:49.304009;ERRO AO OBTER URL: 'response'
2026-03-09 15:36:54.644382;ERRO AO OBTER URL: 'response'
2026-03-09 15:36:59.984089;ERRO AO OBTER URL: 'response'
2026-03-09 15:37:05.309905;ERRO AO OBTER URL: 'response'
2026-03-09 15:37:10.664078;ERRO AO OBTER URL: 'response'
2026-03-09 15:37:15.961243;ERRO AO OBTER URL: 'response'
2026-03-09 15:37:20.977324;CRITICAL ERROR IN BASE REPORT (gen): Failed to retrieve Base Report URL
2026-03-09 15:47:57.283954;Error triggering Performance Account Report: BTG API error: 405 - {"type":"about:blank","title":"Method Not Allowed","status":405,"detail":"Method 'GET' is not supported.","instance":"/api/v1/performance-report/account"}
2026-03-09 15:55:16.232785;Error triggering Performance Account Report: BTG API error: 405 - {"type":"about:blank","title":"Method Not Allowed","status":405,"detail":"Method 'GET' is not supported.","instance":"/api/v1/performance-report/account"}
2026-03-09 15:59:30.205099;ERRO AO OBTER URL: 'response'
2026-03-09 15:59:35.514424;ERRO AO OBTER URL: 'response'
2026-03-09 15:59:40.841815;ERRO AO OBTER URL: 'response'
2026-03-09 15:59:46.139984;ERRO AO OBTER URL: 'response'
2026-03-09 15:59:51.480804;ERRO AO OBTER URL: 'response'
2026-03-09 15:59:56.824030;ERRO AO OBTER URL: 'response'
2026-03-09 16:01:03.449093;Error triggering Performance Account Report: BTG API error: 405 - {"type":"about:blank","title":"Method Not Allowed","status":405,"detail":"Method 'GET' is not supported.","instance":"/api/v1/performance-report/account"}
2026-03-09 16:09:00.390377;Error triggering Performance Account Report: BTG API error: 405 - {"type":"about:blank","title":"Method Not Allowed","status":405,"detail":"Method 'GET' is not supported.","instance":"/api/v1/performance-report/account"}
2026-03-09 16:10:00.990071;ERRO AO OBTER URL: 'response'
2026-03-09 16:10:06.743910;ERRO AO OBTER URL: 'response'
2026-03-09 16:10:12.077594;ERRO AO OBTER URL: 'response'
2026-03-09 16:10:17.396901;ERRO AO OBTER URL: 'response'
2026-03-09 16:10:22.746621;ERRO AO OBTER URL: 'response'
2026-03-09 16:10:28.102361;ERRO AO OBTER URL: 'response'
2026-03-09 16:10:33.485359;ERRO AO OBTER URL: 'response'
2026-03-09 16:10:38.811272;ERRO AO OBTER URL: 'response'
2026-03-09 16:10:44.535501;ERRO AO OBTER URL: 'response'
